NAME;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
BGM-1144;BGM-1144;5;5;5;5;3;7;2;5;4;2;3;3;1;5;7;3;5;1;2;1;2;2;2;2;3;5;3;0;4;3;2;5;90;3;8;1.8;14.6;4.94;2.971870748;17.54;4.26;26.46666667;73.83666667;3.666666667;1.8;22.25777778;13.95333333;8.514285714;7.348571429;44.82111111;34.38777778
BGM-1158;BGM-1158;7;3;5;5;3;5;4;3;4;4;3;5;0;5;7;3;5;1;2;1;2;2;2;1;7;3;3;1;3;3;1;5;80;5;8;1.777777778;10.58;3.18;3.316685642;18.28;3.723333333;24.10833333;56.855;1.9175;2.025;28.684;15.73266667;10.63071429;7.371428571;27.23733333;36.20692308
BGM-1161;BGM-1161;3;7;3;5;3;7;2;5;4;4;1;3;0;2;3;7;5;1;1;1;2;2;NA;2;7;5;3;0;4;7;1;5;100;5;3;2;10.46;3.58;2.930390721;15.96;2.353333333;17.2;49.10666667;3.666666667;2.2;20.4325;22.9425;19.64;1.91;44.7225;26.8875
BGM-1163;BGM-1163;7;1;5;3;3;6;1;3;4;2;1;3;1;5;3;3;3;1;2;1;3;3;1;2;7;5;3;1;4;7;2;5;100;3;4;1;12.64;2.9;4.368696259;12.42;1.483333333;21.33333333;71.39;5;2.262666667;31.358;31.91533333;27.895;6.599;51.62;36.81133333
BGM-1164;BGM-1164;5;9;5;5;3;8;1;5;1;4;3;5;0;9;7;7;5;1;1;1;3;1;2;1;3;0;3;0;4;3;2;7;100;3;8;1.777777778;14.78;2.48;5.948809524;19.66;2.93;24.81583333;65.3375;3.624166667;2.4075;21.391875;21.065625;15.63133333;7.210666667;47.6675;32.743125
BGM-1168;BGM-1168;3;3;5;3;2;8;2;3;4;2;3;5;0;6;3;3;5;1;2;1;2;2;2;2;3;5;3;0;4;3;2;5;90;3;8;1.428571429;16.88;1.94;9.096052631;19.44;2.603333333;30.05;61.09;3.541666667;1.797692308;13.09;10.39846154;7.185;4.460833333;49.77538462;34.96846154
BGM-1176(M);BGM-1176(M);7;7;3;5;2;5;4;5;3;2;1;1;0;5;3;7;3;2;2;1;3;3;2;3;7;5;3;1;3;3;1;5;100;4;2;1.25;12.6;3.28;3.848156879;15.22;1.34;30;53.46666667;7.333333333;2.075;19.1875;20.6125;17.81666667;5.07;52.4;34.3175
BGM-1190;BGM-1190;9;3;5;3;3;6;1;5;3;4;2;5;1;2;3;3;5;1;3;1;2;2;1;2;7;5;3;1;4;7;2;7;100;5;8;1;15;6.22;2.412933934;17.14;2.053333333;23.44444445;56.25555556;3.333333333;2.106666667;17.82416667;16.70583333;14.09090909;3.717142857;48.15;32.58416667
BGM-1191;BGM-1191;7;9;7;9;3;9;3;5;4;4;2;5;0;5;1;3;5;1;3;1;1;1;1;2;7;3;3;1;4;7;1;7;80;3;8;1;9.3;2.8;3.354560745;9.92;1.04;26;59.35666667;7.333333333;2.058;13.172;17.099;13.17666667;7.588;56.696;30.771
BGM-1193;BGM-1193;5;3;5;3;3;6;2;3;4;1;1;7;1;5;3;3;5;1;1;1;3;2;1;2;7;5;2;1;4;3;2;7;90;3;8;1.333333333;19.14;5.36;3.571402756;29.98;2.44;31.66666667;53.9;3.444444445;2.358181818;25.24;14.81454545;9.681;3.926666667;36.31818182;39.46454545
BGM-1203;BGM-1203;5;3;5;3;3;9;3;3;4;2;1;1;1;5;7;7;5;1;2;1;3;3;2;2;7;5;2;1;4;3;1;7;100;5;6;1.428571429;15.24;4.06;3.766981616;19.12;2.486666667;23.875;63.91416667;6.166666667;2.083684211;24.50315789;17.09578947;12.14222222;7.734705882;41.77473684;34.65526316
BGM-1210;BGM-1210;3;1;5;3;2;3;4;3;3;2;2;7;1;3;3;3;5;1;2;1;3;2;2;3;7;5;2;1;3;3;1;7;110;5;8;1.2;17.48;3.98;4.400341402;20.24;2.79;24;63.35;3.666666667;2.0325;20.11666667;12.94416667;9.155454545;5.205714286;38.46333333;35.727
BGM-1212;BGM-1212;7;5;3;7;3;5;4;7;4;1;1;3;1;5;1;3;3;1;2;1;3;2;2;2;7;0;3;0;3;5;2;5;95;4;8;1;13.08;3.84;3.409147787;19.08;3.273333333;46;39.76;3.333333333;2.132;20.042;5.538;1.095;1.84;21.052;37.975
BGM-1217;BGM-1217;5;5;5;5;3;9;1;5;3;2;1;5;1;5;3;7;5;2;2;1;2;1;2;1;7;0;3;0;4;3;2;5;100;5;8;1.5;12.32;3.66;3.378993796;14.02;4.65;23.33333333;58.14666667;7.666666667;1.71;24.938;18.336;10.545;5.71;38.59;35.854
BGM-1218;BGM-1218;9;5;5;3;2;8;1;3;1;3;1;3;1;5;3;3;5;1;3;1;1;0;1;2;7;5;3;1;3;7;2;5;0;4;8;1;12.9;4.16;3.108415561;15.74;2.163333333;35;43.08333333;3.333333333;1.958;26.986;4.624;2.9925;1.28;22.454;31.165
BGM-1223;BGM-1223;7;3;5;3;1;5;4;3;1;3;1;5;1;3;3;7;5;1;2;1;3;1;2;3;3;5;3;1;3;3;1;5;90;3;8;1.25;20.54;5.34;3.864588401;29.82;2.953333333;24.66666667;62.02777778;3.036666667;1.676153846;15.63615385;13.75538462;10.3;4.154545455;48.71384615;33.64
BGM-1224;BGM-1224;5;7;5;5;3;8;2;5;4;4;2;3;1;5;3;3;5;1;1;1;2;3;1;4;7;3;3;0;3;3;3;5;80;5;8;1;12.1;2.8;4.328818345;14.46;4.25;32;103.6666667;1.666666667;2;22.94166667;14.755;11.946;2.188;27.45333333;31.648
BGM-1226;BGM-1226;5;7;5;3;3;8;2;5;3;4;2;3;0;5;3;3;5;1;1;1;2;3;2;2;7;5;3;0;4;7;1;3;80;1;8;1.428571429;14.84;3.14;4.759236459;25.6;2.373333333;25.91666667;64.01833333;3.25;2.084285714;27.26857143;17.40142857;11.27;8.264166667;37.195;33.66076923
BGM-1252;BGM-1252;7;5;5;3;3;7;1;5;1;1;1;5;1;2;7;3;5;2;2;1;3;2;2;2;3;0;3;1;4;7;3;5;100;5;4;1.142857143;17.3;5.26;3.2947447;25.4;1.883333333;20.41666667;53.57;2.291666667;1.736666667;12.39181818;11.55181818;9.624;2.29;35.80272727;35.36888889
BGM-1253;BGM-1253;5;1;5;3;1;3;4;3;4;2;1;5;0;5;7;3;5;1;1;1;3;3;1;2;7;3;3;0;4;3;1;5;90;5;4;1.333333333;14.42;3.62;4.007118756;15.66;1.983333333;29.875;66.44416667;6.125;1.726363636;21.60545455;34.13181818;25.83888889;15.85888889;58.38727273;30.58454545
BGM-1255;BGM-1255;5;2;5;3;2;5;2;3;4;1;1;3;0;3;7;7;3;1;1;2;3;3;2;2;7;5;2;1;3;3;2;3;100;5;6;1;18.18;5.74;3.16976716;24.22;1.963333333;21.375;49.9075;2.916666667;1.329285714;10.02785714;11.52428571;6.861538462;4.336666667;51.89928571;32.87769231
BGM-1270;BGM-1270;7;5;5;3;3;6;1;5;1;3;1;5;1;6;3;3;3;1;1;1;3;3;2;2;3;5;3;0;3;7;2;7;80;1;6;1;16.34;2.66;6.480885485;22.38;0.953333333;33.33333333;56.45;4.333333333;1.743636364;11.04727273;16.62555556;12.0125;6.296666667;54.83888889;33.22777778
BGM-1275;BGM-1275;3;3;5;3;3;7;1;3;1;1;1;5;1;5;1;7;5;1;1;1;1;0;2;3;3;3;2;0;3;NA;2;5;0;1;8;1.333333333;13.7;3.9;3.515922899;15.06;2.306666667;26.93833333;56.33333333;2.583333333;1.769285714;15.06785714;5.980714286;2.576153846;3.843076923;28.57285714;33.84333333
BGM-1283;BGM-1283;3;3;5;3;2;6;1;3;1;1;1;3;1;2;3;3;5;1;2;1;3;0;1;2;3;5;3;0;4;7;2;5;80;5;8;1;14.66;5.92;2.476130478;29.84;1.983333333;27.66666667;82.09333333;2;1.709285714;24.94642857;29.90785714;28.26923077;3.29;50.06857143;33.925
BGM-1294;BGM-1294;5;7;5;5;1;3;3;5;4;4;1;5;1;5;3;3;3;1;1;1;1;0;1;2;7;3;3;0;4;3;3;5;0;5;6;1.6;11.5;3;3.825612276;22.72;1.533333333;23.04166667;52.62833333;4.708333333;1.877;14.414;8.781;4.048888889;5.188888889;40.158;33.337
BGM-1303;BGM-1303;5;1;5;3;2;7;2;3;3;3;1;5;0;5;3;3;5;1;2;2;2;2;NA;1;7;3;3;0;4;3;2;3;90;5;8;2;13.16;2.68;4.899522145;18.44;2.09;17.66666667;44.33;1.666666667;1.596666667;9.893333333;3.513333333;0;3.513333333;18.30666667;31.35
BGM-1314;BGM-1314;5;3;5;3;3;7;1;3;3;3;1;3;1;5;3;7;5;2;2;1;2;3;2;2;7;3;2;0;4;7;3;5;90;5;8;1;11.36;3.28;3.473127413;16.98;2.513333333;31;50.71333333;2.333333333;1.734;17.442;7.57;3.1675;3.905;31.002;33.792
BGM-1315;BGM-1315;3;5;3;5;3;7;2;5;3;1;1;5;1;5;3;7;5;1;2;1;3;2;2;2;7;0;2;0;4;3;1;3;60;3;4;2;16.42;4.58;3.616452539;24.82;2.09;29.625;51.87416667;5.333333333;1.868888889;26.63888889;21.26333333;14.52428571;5.788571429;44.77555556;35.37625
BGM-1321;BGM-1321;7;1;5;5;2;4;2;5;4;3;1;5;1;2;3;3;5;1;2;1;3;2;2;3;7;5;3;0;4;3;1;5;90;5;6;1;16.1;5.38;3.011161923;21.98;2.343333333;24;66.04;5;1.82375;25.54;28.885;25.74857143;5.87;51.87875;36.2225
BGM-1323;BGM-1323;9;3;5;3;2;7;1;5;3;1;1;5;1;5;3;3;5;1;4;1;2;2;2;2;7;5;3;0;4;3;1;3;110;3;8;1.285714286;14.02;5.7;2.458535851;23.98;4.08;36.95;57.90833333;3.083333333;1.765454545;18.24909091;14.2;11.635;3.916666667;38.72909091;36.69666667
BGM-1325;BGM-1325;7;7;5;5;1;7;1;5;1;1;1;3;1;3;3;7;5;1;2;1;3;2;2;3;3;5;3;0;4;3;3;5;100;5;8;1.25;13.14;3.06;4.307797619;17.26;2.713333333;33;60.02666667;3.333333333;1.95125;37.8875;12.4125;9.341428571;4.183333333;26.875;37.065
BGM-1344;BGM-1344;7;7;5;3;3;7;2;5;1;3;1;5;1;2;3;7;5;1;1;1;2;1;2;1;3;5;3;1;3;7;1;5;90;5;4;1;18;4.02;4.515457158;21.56;2.326666667;17.66666667;60.25777778;2.555555555;1.792857143;11.56;8.165714286;4.681666667;4.285;41.07;32.88857143
BGM-1355;BGM-1355;5;5;5;3;3;9;3;5;4;3;2;5;1;5;3;3;5;1;2;1;3;3;1;2;7;0;1;1;3;3;1;5;60;3;4;1;10.4;3.98;2.618901099;10.72;1.13;28.88888889;63.89555556;3.222222222;1.345;8.868333333;11.58666667;10.26;5.512;55.00666667;27.678
BGM-1361;BGM-1361;7;7;5;5;2;5;2;5;4;1;1;3;1;5;3;7;5;1;1;2;1;2;2;3;7;5;2;0;3;3;1;5;0;1;3;1.666666667;14.9;3.24;4.809406421;24.34;1.19;24.33333333;66.09;6.666666667;2.503076923;31.15230769;27.14230769;23.32090909;4.862857143;46.20769231;34.63307692
BGM-1362;BGM-1362;5;7;3;5;2;3;3;5;4;3;1;3;0;5;7;7;5;1;2;1;2;2;1;2;7;5;3;1;3;3;2;5;80;5;3;1.333333333;15.62;5.08;3.080812189;22.48;2.793333333;32.5;53.75416667;5.125;1.7564;18.9512;15.1128;9.9525;6.496;39.7184;35.15454545
BGM-1365;BGM-1365;7;3;5;3;2;5;4;3;4;2;1;5;1;3;3;3;5;1;1;1;1;0;1;2;7;5;3;0;4;7;3;5;0;1;4;1.4;18.04;4.12;4.383639044;21.04;3.193333333;17.66666666;56.76777778;3;1.77125;13.1725;6.938571429;2.73;3.821666667;36.97571429;29.464
BGM-1386;BGM-1386;7;2;5;3;2;7;1;3;1;3;1;5;1;5;3;3;5;1;2;1;1;0;1;4;3;0;3;0;3;3;3;3;0;3;8;1.4;19.52;5.28;3.702147523;26.08;3.593333333;29.45555556;67.98777778;3.777777778;1.921111111;20.38111111;20.63333333;17.615;4.342857143;48.70666667;34.62444444
BGM-1388;BGM-1388;7;3;5;9;3;9;3;5;4;1;1;3;0;5;3;3;3;1;1;2;2;2;2;2;7;0;3;1;3;3;2;5;120;5;8;1;15.24;4;3.792036699;22.22;3.596666667;26.77777778;73.13555555;4.555555555;1.854;21.339;27.709;23.62;6.53625;56.475;35.912
BGM-1390;BGM-1390;7;1;5;3;2;5;4;3;1;1;2;5;1;3;1;7;5;1;2;1;2;2;2;2;3;0;2;0;4;NA;2;3;120;3;8;2.25;17.74;4.48;3.970635734;27.18;3.016666667;28.33333333;59.94333333;6.666666667;2.3775;28.715;23.9325;19.96666667;5.956666667;46.6475;37.2025
BGM-1393;BGM-1393;9;3;3;3;1;3;4;5;2;1;1;5;1;5;3;7;5;1;1;1;1;0;1;1;7;0;3;1;3;5;2;3;0;5;3;1.4375;13.18;4.76;2.774542622;20.04;2.346666667;23.53666667;61.18333334;3.722222222;2.027272727;19.19;14.47727273;7.721111111;4.181111111;45.86272727;35.921
BGM-1395;BGM-1395;5;7;5;3;3;9;4;5;4;3;3;5;1;5;7;3;3;1;1;1;2;3;1;2;7;3;2;1;3;3;2;5;100;5;3;1;15.62;4.16;3.764667054;22.14;1.686666667;32.88888889;52.50111111;4.111111111;2.087;23.461;11.958;8.938888889;2.64;32.897;35.58333333
BGM-1398;BGM-1398;7;3;5;3;3;7;1;3;1;2;1;7;1;2;7;3;5;1;2;2;3;3;1;2;7;5;3;0;3;7;3;7;110;5;8;1.25;12.76;3.98;3.209553268;19;2.923333333;25.33333333;78.77666667;3.666666667;2.018095238;28.35142857;19.24619048;15.7815;3.984;39.0447619;34.21421053
BGM-1412;BGM-1412;7;3;5;3;3;7;1;3;4;2;1;5;0;5;3;7;5;1;1;1;3;2;2;1;7;0;3;1;4;3;1;5;90;3;6;1.285714286;16.24;4.36;3.74111812;16.14;2.756666667;25.95833333;60.79333333;4.625;2.110833333;29.8975;19.91916667;13.93545455;7.53;39.8525;35.91166667
BGM-1423;BGM-1423;3;1;3;3;3;9;3;3;4;4;1;5;0;5;3;3;3;1;1;1;3;3;2;2;7;5;3;0;3;7;1;5;100;5;3;1;14.24;3.86;3.694718858;21.78;1.416666667;28.66666667;57.49666667;6.333333333;1.958666667;28.672;36.88;31.81857143;6.644;55.23133333;35.12357143
BGM-1424;BGM-1424;5;3;5;3;2;3;4;3;4;1;1;5;0;5;3;7;5;1;1;1;1;0;2;4;7;0;3;0;4;3;3;3;0;5;6;1;15.84;4.4;3.60252341;21.36;1.97;44.33333333;60.23333333;5.666666667;1.684;13.944;18.95;10.1625;7.385;57.672;38.44
BGM-1440;BGM-1440;9;3;5;3;3;7;1;3;1;4;1;7;1;5;3;3;5;1;2;1;2;2;2;2;3;5;2;0;4;7;3;7;80;3;8;1.25;18.52;4.48;4.192117138;24.16;1.553333333;27.77777778;62.36444445;4.777777778;2.185454545;15.70090909;16.78636364;15.56727273;4.712857143;51.81818182;39.239
BGM-1447;BGM-1447;3;7;5;3;3;7;3;5;1;1;1;5;0;5;3;3;5;1;3;1;2;1;2;2;3;5;2;0;3;5;2;5;90;1;4;2;13.8;3.86;3.59047903;20.14;2.786666667;26.33333333;63.67333333;6.083333333;2.451428571;33.49761905;19.3347619;12.874;7.814736842;36.89857143;36.24
BGM-1451;BGM-1451;5;5;5;3;3;9;4;5;3;4;1;3;1;5;7;7;5;1;2;1;2;2;2;2;7;5;2;0;3;3;2;5;100;5;3;1.25;10.58;3.64;2.912653813;15.84;1.616666667;23.05555555;47.60555556;2.777777778;1.875833333;18.23;6.664166667;3.190909091;3.529090909;33.33083333;34.8475
BGM-1452;BGM-1452;7;5;5;5;2;8;3;3;1;1;1;5;1;8;3;7;5;1;1;1;2;2;1;1;3;5;2;1;4;7;3;5;90;5;8;1.333333333;12.64;3.88;3.260445231;14.7;1.183333333;20.33333333;54.02666667;2.666666667;1.929;15.939;10.173;6.783333333;2.87;35.12;33.7975
BGM-1455;BGM-1455;3;5;5;3;3;6;3;3;4;1;1;5;0;5;3;3;5;1;2;1;2;1;1;4;7;5;3;0;4;3;3;5;110;5;3;1.833333333;14.96;3.98;3.776525562;24.54;2.8;32.11111111;61.58222222;5.111111111;2.07;19.54545455;22.07363636;16.542;7.015;54.82272727;35.69545455
BGM-1496;BGM-1496;5;5;5;3;3;7;1;5;4;2;2;5;1;2;3;3;3;1;1;1;2;1;2;2;7;3;2;0;3;3;1;3;80;1;4;1.2;14.62;5.08;2.878291317;23.32;2.103333333;22;61.47555555;4.222222222;1.796666667;11.55666667;11.67833333;7.202;5.268;53.41833333;34.465
BGM-1502;BGM-1502;9;3;3;5;3;9;2;7;3;1;2;3;1;2;3;3;3;1;1;1;2;3;2;2;7;5;3;0;4;3;2;5;90;3;4;1.2;12.34;4.78;2.580133272;20.72;3.61;31.66666667;75.28333333;4;1.981;12.998;17.084;11.37666667;7.044444444;56.085;35.82
BGM-1502(M);BGM-1502(M);7;3;3;7;3;9;4;7;4;2;2;3;1;5;1;3;3;1;3;1;2;2;2;2;7;3;1;1;3;3;3;3;90;5;3;1.75;16.66;5.58;2.987416569;25.78;1.806666667;24.44444444;50.52111111;5;1.9025;16.7925;15.8775;6.183333333;4.506666667;47.6075;35.0475
BGM-1508;BGM-1508;3;7;5;5;1;3;2;5;4;3;1;5;1;5;3;3;3;1;1;1;3;3;2;2;7;5;2;0;3;7;1;5;80;1;6;1;18.44;5.36;3.4627514;32.48;1.446666667;33;52.59333333;4.333333333;2.012142857;20.76571429;22.04357143;17.67692308;6.508888889;45.90357143;32.505
BGM-1518;BGM-1518;7;7;5;9;3;7;1;5;1;2;2;5;1;2;7;3;5;1;2;1;1;0;2;2;3;5;3;0;3;3;2;5;0;1;8;2;15.3;4.62;3.320183089;22.88;3.013333333;25.20833333;58.80833333;4.666666667;1.957083333;21.49083333;19.71363636;14.10333333;6.085263158;46.50227273;36.93863636
BGM-1527;BGM-1527;7;7;5;5;3;9;1;5;4;4;1;5;1;5;3;7;5;1;1;1;2;1;2;1;7;0;3;0;3;7;1;5;80;3;6;1.571428571;18.48;5.44;3.397662601;27.1;2.65;21.70833333;63.09583333;4.625;2.479166667;27.2175;13.94416667;8.394545455;6.066;34.98181818;35.07083333
BGM-1532;BGM-1532;3;7;5;3;3;9;3;3;4;2;1;5;1;2;3;7;5;1;2;1;2;1;NA;2;7;0;3;0;4;7;1;3;100;5;NA;3;14.44;4.56;3.172262626;21.16;2.566666667;17.33333333;49.55666667;1;2.0275;22.7025;20.295;14.91;5.79;39.325;28.525
BGM-1539;BGM-1539;7;5;5;3;2;7;1;5;1;1;1;5;1;6;3;3;5;1;2;1;3;1;NA;1;7;5;3;0;4;7;1;5;90;1;NA;NA;17.42;1.48;11.82723443;22.98;NA;NA;NA;NA;2.02;33.70666667;18.97666667;15.63;4.9;32.00833333;32.25666667
BGM-1540;BGM-1540;7;5;5;3;3;7;1;3;1;1;1;5;1;6;1;3;5;1;1;1;2;2;NA;4;7;5;3;0;4;3;3;5;90;3;NA;2;13.02;1.88;7.054126984;15.12;3.18;16;66.12333333;1.333333333;2.02;24.65;3.99;0;3.99;13.94;34.23
BGM-1563;BGM-1563;7;5;5;3;3;9;2;5;4;4;1;5;1;5;1;3;5;1;1;1;1;0;2;1;7;5;3;0;4;3;2;5;0;3;8;1.333333333;15.28;4.16;3.680627178;21.64;1.146666667;13.66666667;26.55;2;1.643333333;10.11333333;4.756666667;0.97;1.085;27.08333333;31.54
BGM-1569;BGM-1569;7;1;5;3;1;5;2;3;4;4;2;5;0;5;3;3;5;1;1;1;3;2;1;3;7;5;3;1;3;7;1;7;100;1;4;1;18.72;5.38;3.48163762;25.06;1.19;32.66666667;52.82666667;6.333333333;1.805454545;14.74545455;19.04454545;13.47;6.395555556;56.40818182;32.33181818
BGM-1573;BGM-1573;7;7;5;5;2;5;4;5;4;1;1;3;1;5;1;3;3;1;1;2;2;3;1;3;7;5;3;1;4;7;2;7;90;3;NA;1;9.9;2.88;3.482599256;15.46;1.266666667;26;47.18666667;4;1.606666667;12.42666667;7.58;5.21;3.645;38.76;40.815
BGM-1583;BGM-1583;5;5;5;3;3;6;1;3;1;2;1;5;1;5;3;7;5;1;2;1;1;0;1;3;3;3;3;1;4;3;3;5;0;5;8;1.428571429;13.48;2.64;5.192987849;18.3;2.476666667;27.58333333;65.68833333;5.5;2.062222222;21.66333333;22.63222222;14.92875;6.97375;49.17;37.09
BGM-1585;BGM-1585;9;5;5;5;3;9;3;5;4;4;2;5;0;2;7;3;5;1;2;1;2;2;2;3;7;3;3;0;3;3;2;7;80;1;6;1.214285714;15.44;5.3;2.926987048;20.64;2.606666667;27.58333333;57.8025;6.458333333;2.031818182;19.15181818;17.78636364;11.468;8.027;50.69545455;34.39454545
BGM-1588;BGM-1588;9;5;5;5;1;3;4;5;4;4;2;3;0;5;7;7;5;1;1;1;2;1;2;2;7;0;3;0;4;3;1;3;80;3;8;1;15.26;4.9;3.111994291;22.32;1.593333333;28.66666667;67.66666667;6;1.88;23.388;19.314;14.8;3.915;45.162;38.296
BGM-1593;BGM-1593;5;5;5;3;3;7;1;5;2;2;1;5;1;7;3;3;5;1;3;1;2;1;NA;2;3;5;3;0;4;7;1;7;90;5;NA;NA;14.58;2.2;6.658794258;20.78;NA;NA;NA;NA;2.296666667;17.06666667;11.15333333;9.303333333;1.395;26.385;40.98333333
BGM-1605;BGM-1605;3;7;3;3;2;3;4;5;4;1;2;5;1;6;3;3;5;1;1;1;2;2;2;4;7;5;3;0;3;3;3;5;70;3;8;1.5;15.4;2.98;5.20398569;21.3;2.42;24.77777778;64.48555556;4.613333334;1.654615385;13.67461538;21.25461538;14.7325;9.314166667;60.25615385;34.26615385
BGM-1609;BGM-1609;5;3;5;3;3;9;1;3;4;2;1;3;1;5;7;7;5;1;1;1;3;1;1;4;7;3;3;0;3;3;2;5;60;5;8;1.4;16.3;3.32;4.925296888;20.8;2.646666667;24.16666667;53.05;4.166666667;1.690909091;19.60636364;19.18909091;13.112;9.705;50.26636364;35.80181818
BGM-1610;BGM-1610;7;5;5;5;2;3;3;5;4;4;3;5;1;5;3;3;5;1;1;1;2;1;1;2;7;5;3;1;3;3;2;5;90;3;3;1.666666667;12.12;4.3;2.818967256;22.1;2.31;21;63.7;7.666666667;2.059411765;24.24294118;22.00176471;16.11466667;7.659285714;46.72352941;31.49882353
BGM-1623;BGM-1623;7;2;5;3;3;6;1;5;4;1;1;5;0;5;7;3;5;1;2;1;3;3;2;2;7;5;2;0;4;5;2;5;100;5;8;1.2;15.74;3.78;4.165320786;25.38;2.543333333;28.33333333;68.74666667;4;1.8;26.21294118;43.71941176;40.31125;8.446666667;62.66058824;32.12705882
BGM-1633;BGM-1633;5;1;5;5;2;8;2;3;3;2;1;5;1;5;3;3;5;1;1;1;2;1;2;2;3;5;3;0;3;3;1;5;90;1;8;1.8;13.62;2.06;6.626473001;16.62;3.03;31.88888889;53.54666666;3.444444444;1.338333333;8.66;8.36;5.474;4;46.36;32.112
BGM-1650;BGM-1650;7;5;5;3;3;6;1;3;3;2;1;5;1;5;3;3;5;1;1;2;3;1;2;2;7;5;3;0;4;7;2;7;100;1;4;1;20.8;4.98;4.183011251;29.76;2.77;25.66666667;71.29666667;5;2.31;28.07875;31.34375;25.66428571;8.003333333;53.4725;35.405
BGM-1657;BGM-1657;5;5;5;3;2;5;4;5;4;2;1;5;1;5;1;7;5;1;1;1;2;2;1;3;3;5;3;0;4;3;1;5;90;5;3;1.428571429;10.94;3.14;3.492230135;15.02;2.496666667;23.16583333;59.92666667;5.25;1.830833333;22.02333333;17.57;11.30909091;8.116363636;47.89166667;34.03636364
BGM-1668;BGM-1668;5;5;5;3;2;8;2;3;4;4;2;5;1;5;7;3;5;1;2;1;2;1;2;2;7;3;3;1;4;3;1;5;90;3;4;1.333333333;11.28;3.96;2.848909351;16.56;2.25;24.20916667;50.815;4.375;1.802857143;14.12142857;13.83357143;8.126923077;7.943846154;48.92;30.79142857
BGM-1685;BGM-1685;5;7;5;9;2;5;3;3;4;1;1;5;1;5;3;3;5;1;3;1;2;2;1;2;7;5;3;0;4;3;2;7;90;1;4;1.5;15.18;2.14;7.130848861;20.3;1.463333333;27.55555556;60.38666666;6.111111111;2.36875;21.95;25.116875;18.94666667;8.404285714;51.7425;36.72875
BGM-1686;BGM-1686;7;3;3;3;3;7;1;3;1;1;1;5;0;3;3;7;5;1;1;1;1;1;1;2;3;5;2;0;4;3;3;3;0;5;8;1.142857143;14.44;3.34;4.320504202;22.32;2.543333333;21.58333333;64.415;2.458333333;1.746666667;15.7275;11.4325;7.461818182;4.027;44.64833333;32.98818182
BGM-1696;BGM-1696;7;1;5;3;2;9;4;5;4;2;1;5;1;2;7;3;5;1;2;1;1;2;1;2;7;5;2;0;3;5;2;7;0;5;8;1;14.5;4.76;3.047218939;27.54;3.023333333;28.16666667;52.33166667;3.583333333;1.913043478;18.09217391;23.28227273;17.51095238;5.5;54.48727273;36.22318182
BGM-1709;BGM-1709;5;7;5;5;3;8;2;7;3;2;3;3;0;5;3;7;5;1;1;1;2;1;2;1;7;0;3;0;3;3;1;5;90;3;8;1.142857143;14.24;3.66;3.900666454;20.58;2.706666667;23.625;68.38083333;4.916666667;2.283076923;18.55230769;18.91923077;11.96333333;6.506666667;47.12;32.73923077
BGM-1722(D);BGM-1722(D);5;5;3;3;2;5;4;3;4;3;2;3;1;2;7;3;3;1;1;1;2;2;1;3;7;5;2;0;3;3;1;5;120;5;4;1;15.76;4.56;3.460964881;21.32;2.003333333;25.11111111;56.09944445;6.5;1.6775;11.84;13.26;8.866666667;5.943333333;52.5825;31.8425
BGM-1723;BGM-1723;7;9;5;5;2;6;1;7;3;1;1;3;1;5;3;3;5;1;1;1;1;1;1;2;7;5;2;0;4;NA;2;7;0;3;8;1;12.14;3.24;3.774677419;21.68;2.443333333;31;59.90333333;3;1.829375;18.63;28.34571429;22.78538462;6.203636364;59.435;35.955
BGM-1735;BGM-1735;5;3;5;3;2;9;3;5;4;1;2;5;0;2;1;3;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;5;80;3;8;1.4;18.32;2.42;7.601916084;22.46;1.713333333;26.33333333;58.06555555;5.444444444;1.8875;15.855;21.7675;19.39428571;13.85;55.79125;37.14875
BGM-1741;BGM-1741;7;5;5;5;3;9;3;5;3;1;2;5;1;9;7;3;5;1;3;1;2;2;2;2;7;5;2;0;3;7;2;5;90;3;8;1;19.58;3.58;5.530456189;24.4;1.893333333;29.66666667;52.01333333;4;2.401428571;24.80214286;19.31642857;14.48692308;5.11;44.27384615;35.82
BGM-1746;BGM-1746;5;1;5;3;3;7;1;3;2;2;3;5;0;5;7;3;5;1;1;1;2;2;1;2;3;3;3;1;3;3;1;3;80;5;8;1.25;12.72;3.64;3.496415602;18.88;2.216666667;26.88888889;47.30111111;2.555555556;1.508571429;10.16285714;16.12714286;8.754285714;5.527142857;59.91142857;35.26
