Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
255;BGM-0186;3;1;5;5;2;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;3;2;1;2;7;3;3;0;4;3;2;5;90;3;4;1.857142857;9.24;3.34;2.766417855;12.7;2.506666667;21.70833333;60.74666667;4.041666667;1.554;9.824;8.597;3.858888889;4.488888889;45.134;33.774
257;BGM-0188;5;5;5;3;3;9;3;3;4;1;2;5;1;4;3;7;5;1;2;1;3;3;2;2;7;5;2;0;3;3;2;7;110;3;6;1.666666667;17.86;3.88;4.631933099;23.34;1.916666667;21.66666667;60.01;4.333333333;2.211052632;37.85263158;33.84157895;30.05888889;4.554285714;47.78157895;34.16222222
259;BGM-0190;9;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;2;1;2;2;2;2;7;5;3;1;3;5;2;3;90;5;6;1.428571429;16.66;4.66;3.574214707;22.66;1.75;33.44444444;63.17666666;5.444444445;2.291818182;33.05454545;22.78727273;19.79444444;4.16625;40.72272727;35.435
261;BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;3;8;1.111111111;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;2.710833333;1.724666667;15.97933333;7.484666667;4.095714286;3.63;35.44266667;33.645
267;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;1;4;1;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;5;2.513333333;33.78533333;19.24066667;16.23857143;4.107;35.00866667;31.67266667
283;BGM-0235;5;7;5;5;3;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;0;3;0;3;3;1;5;110;3;6;2;11.98;2.82;4.278665075;17.54;2.426666667;33.625;65.1525;5.041666667;2.2425;23.80416667;26.26083333;18.25181818;7.410909091;51.01;33.74833333
288;BGM-0240;5;7;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;3;5;3;0;4;3;3;5;100;3;8;1.714285714;13.92;3.16;4.401965384;14.02;3.803333333;25.75;71.83166667;4.166666667;1.748181818;14.37636364;19.58363636;13.52;5.265;56.32090909;33.48272727
289;BGM-0241;5;3;3;5;3;6;3;5;4;1;1;5;1;5;3;3;5;1;3;1;2;1;NA;2;7;5;2;0;4;3;2;5;90;3;3;2.5;15.12;4.18;3.617152256;20.22;3.653333333;41.66666667;65.64333333;3.333333333;2.408333333;26.91666667;18.03666667;14.445;3.591666667;42.04666667;34.37
298;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;5;4;1.833333333;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;6.111111111;2.1375;17.61416667;20.12416667;14.99818182;8.197142857;50.07;36.75333333
303;BGM-0263;7;5;5;7;3;6;NA;5;4;2;1;3;1;5;NA;3;5;NA;3;1;2;NA;NA;3;7;5;2;0;4;7;1;7;60;3;NA;NA;10;2.6;3.846153846;14.1;NA;NA;NA;NA;2.288333333;19.24166667;3.96;0.892;1.475;14.612;27.5625
