Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;2.13152363448869;1.72540530100091;8.96662995205844;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
189;BGM-0140;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;2;1;3;2;2;2;7;0;2;0;3;3;1;5;90;17.2;6.02;2.861694959;29.82;2.593333333;25.625;66.27333333;6.64368734787995;2.06925494828223;2.29237679851641;8.6953289464977;4.59244635391803;3.94085053015059;6.47579252391579;37.7531943192444;19.0364662875737;24.5051604560394;44.9738994199962;1.88118770346851
199;BGM-0151;5;3;5;3;3;7;1;3;1;1;1;5;0;5;3;7;5;1;1;1;1;0;1;2;3;5;3;0;4;3;3;5;0;16.04;4.5;3.566648005;28.04;3.006666667;28;56.67916667;7.97510675976724;1.97864758577346;2.04440623133586;8.96662995205844;4.74313055495784;2.81704850174538;4.86182953598492;33.4434343804547;15.1889542665289;25.3669752389318;36.9340316119861;1.97674454389675
207;BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;7.83510652682644;2.06925494828223;2.01857268737888;8.9548975977966;3.34023869515384;3.11280933524462;4.87232368970415;32.0843890221358;5.79378889852442;14.0922135595526;30.8228687213895;1.93089676560334
214;BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;4.12627244213168;2.03744386909673;2.04440623133586;8.68434146577376;4.6613335615808;3.6473182023191;5.97606692438447;35.2810431910515;18.1640977594113;21.2210190963106;46.8914436823691;1.84572036635057
215;BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;6.02387265172664;2.06925494828223;2.05804315090305;9.02586212234482;5.5485795832654;3.22839821224424;6.53756859614903;37.0285906069798;26.9337893565849;21.6195856497658;55.4062812635483;2.03924488671637
224;BGM-0177;7;9;5;7;3;7;2;5;3;1;1;5;1;5;3;3;3;1;3;1;2;2;2;4;7;0;3;0;3;3;1;3;100;14.9;4.18;3.565009865;21.98;2.846666667;31.33333333;70.31666667;6.86013225331075;2.06925494828223;2.05804315090305;8.8848574489157;4.31307075435504;3.59738999340185;4.8843561719272;34.4217562099808;17.9023310574427;23.5493202562075;46.6142768045324;1.96118257914236
232;BGM-0186;3;1;5;5;2;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;3;2;1;2;7;3;3;0;4;3;2;5;90;9.24;3.34;2.766417855;12.7;2.506666667;21.70833333;60.74666667;4.79875400779866;1.74653609954742;2.15982716773606;8.96662995205844;3.33820646833839;3.26267993229381;4.53471923809187;34.7789244267037;12.5977219584859;12.6943234804913;47.7079259833865;1.63593517307036
244;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;3.93494150507782;1.96213293273887;2.05804315090305;10.2310405955621;4.29107448619011;2.39164584623107;4.63126461821484;33.2055782042215;14.1782157708914;26.5889586957616;33.7178617836061;2.40143460761456
256;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;2;2;3;0;3;0;3;3;2;5;0;10.74;2.66;4.187824807;14.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.9995551515623;4.03559442651072;3.54078606651365;5.41007002308741;33.6001851012856;17.2228431674287;24.1184572382013;41.8376680354329;2.13184153514083
269;BGM-0247;5;3;5;3;3;6;1;3;1;1;1;3;1;5;1;7;5;1;1;1;2;1;2;2;3;3;2;0;4;3;3;5;90;18.68;3.4;5.522289818;24.9;3.636666667;31.95833333;61.64083333;7.97510675976724;2.18370072055337;1.95243168313036;8.96662995205844;4.47552596703033;3.0659982795264;5.58120516019481;35.436701845982;18.8040605508242;21.3184488455726;47.4524232988298;1.88292384067851
289;BGM-0276;7;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;3;7;3;2;1;3;5;1;5;110;16.36;4.56;3.592107661;17.5;1.023333333;28;56.22;4.8396432411396;2.06925494828223;2.05804315090305;9.04457443325884;3.98196535743372;3.17407939375308;6.14846716087359;35.4421570816285;22.8675213398731;23.4850671908795;49.3549936468693;2.15450403126049
