Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
207;BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;7.83510652682644;2.06925494828223;2.01857268737888;8.9548975977966;3.34023869515384;3.11280933524462;4.87232368970415;32.0843890221358;5.79378889852442;14.0922135595526;30.8228687213895;1.93089676560334
214;BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;4.12627244213168;2.03744386909673;2.04440623133586;8.68434146577376;4.6613335615808;3.6473182023191;5.97606692438447;35.2810431910515;18.1640977594113;21.2210190963106;46.8914436823691;1.84572036635057
215;BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;6.02387265172664;2.06925494828223;2.05804315090305;9.02586212234482;5.5485795832654;3.22839821224424;6.53756859614903;37.0285906069798;26.9337893565849;21.6195856497658;55.4062812635483;2.03924488671637
216;BGM-0166;3;5;5;5;3;6;2;5;4;1;1;5;1;5;3;7;5;1;3;1;1;2;2;2;7;0;3;0;4;7;2;5;0;19.2;4.76;4.032161107;31.44;3.623333333;26.66666667;53.82666667;3.40459470102453;2.06925494828223;2.05804315090305;8.82680694482931;3.61648592049993;3.04411728832932;8.03848088198923;34.9475519437485;24.9204352918784;25.3091710595175;44.4948160314893;2.18169908543729
219;BGM-0169;5;7;5;5;3;6;3;5;4;1;1;7;1;2;7;7;5;1;2;1;2;0;2;1;7;5;3;0;3;3;1;5;90;12.16;4.14;3.010918679;20.08;4.363333333;29.70833333;81.1525;7.97510675976724;1.73985852082659;2.06785261953056;8.96662995205844;3.24072193987908;4.10781891882577;5.7898868599065;35.9703602054983;18.718941806493;22.2834830024391;40.1417996998763;2.01687578107046
238;BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;7.98313728751899;1.63724494429593;1.65160308153814;8.96662995205844;2.82355563480583;3.56174518250882;4.38857749104665;34.3026597890562;10.0833312503008;17.1110594459644;38.1792991405127;1.78179160657376
244;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;3.93494150507782;1.96213293273887;2.05804315090305;10.2310405955621;4.29107448619011;2.39164584623107;4.63126461821484;33.2055782042215;14.1782157708914;26.5889586957616;33.7178617836061;2.40143460761456
255;BGM-0220;3;3;5;3;2;7;2;3;3;1;1;5;0;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;3;5;80;10.78;3.3;3.265106484;15.78;2.616666667;25.20833333;62.97083333;3.3682879190017;2.18370072055337;2.15982716773606;8.96662995205844;4.2021869950758;2.88003445920104;5.21279618799625;34.9838548589805;18.6890207974678;21.6871365331271;44.7694904913482;1.95266220944809
264;BGM-0239;5;3;5;3;3;9;2;3;4;1;2;5;0;4;7;7;5;1;1;2;2;3;1;2;7;5;2;0;3;3;2;5;110;13.58;1.44;9.660239956;17.86;2.106666667;25.875;54.84333333;6.52634730311999;2.06925494828223;1.87647480856335;8.99285115211132;2.95814690621785;4.09501859307135;4.13889836234289;34.136183098332;10.1335383068661;19.6381896019688;33.7124206069364;1.821108698627
284;BGM-0268;3;9;5;7;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;2;0;3;3;1;5;100;13.36;4.24;3.151132877;19.2;1.83;26.79166667;64.16166667;4.37042268519261;1.98151608146718;2.04300881832463;8.96662995205844;3.50874131327972;3.29969919407787;4.93663422214219;33.3325081261673;15.6903829491667;15.8800505138266;49.7720690085418;2.00925761041521
