Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
269;BGM-0247;5;3;5;3;3;6;1;3;1;1;1;3;1;5;1;7;5;1;1;1;2;1;2;2;3;3;2;0;4;3;3;5;90;18.68;3.4;5.522289818;24.9;3.636666667;31.95833333;61.64083333;7.97510675976724;2.18370072055337;1.95243168313036;8.96662995205844;4.47552596703033;3.0659982795264;5.58120516019481;35.436701845982;18.8040605508242;21.3184488455726;47.4524232988298;1.88292384067851
275;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;3.72156770096808;2.15869337107465;2.15344613359698;8.55284193884898;4.24608570564686;3.60273666772105;5.79175881388656;35.042212560768;20.4589210336989;14.7284832404978;53.7843423051809;1.97305491247877
277;BGM-0257;5;5;5;3;2;8;3;3;2;2;3;3;1;5;3;7;5;1;1;1;3;3;1;3;7;3;3;1;4;3;3;5;90;15.12;2.74;5.563888765;16.78;1.946666667;24.46083333;48.59333333;7.9541079155087;2.18370072055337;1.65160308153814;8.96662995205844;3.56809724828872;3.73628281138511;5.33360419754994;35.9411976772328;14.9480841722881;14.7207200248598;45.8019269150646;1.83947477598589
281;BGM-0264;5;7;5;5;3;7;3;5;3;1;1;5;1;5;3;3;5;1;1;1;2;0;2;1;7;5;3;0;3;3;2;5;80;11.94;4.22;2.831988403;19.26;3.233333333;19.25;57.78416667;6.18007677083014;2.23430155939938;2.61908318672007;9.5132626049931;3.90208756432851;2.93384654869485;6.02891056352493;35.9615334285495;19.2254360217298;27.3854693597355;40.1941615412906;2.14746509809581
282;BGM-0266;5;7;3;3;2;8;3;5;3;2;1;5;1;2;3;3;5;1;3;1;3;2;1;3;7;3;3;0;4;3;2;5;90;11.68;3.48;3.352274727;21.44;2.176666667;19.44444445;52.95444444;3.91334808343291;2.0769645597874;2.11155520125985;8.96662995205844;3.20420369484274;3.67389450533404;4.69756573218787;35.1359123706822;14.4739926680082;18.7559426823693;43.3525278033673;1.84965511791865
287;BGM-0271;3;7;3;7;3;9;2;3;4;1;1;3;1;5;3;3;3;1;1;1;2;2;1;3;7;0;3;0;4;3;1;5;120;14.92;4.28;3.505637007;19.66;2.596666667;44.66666667;68.99333333;7.77784216764392;2.06925494828223;2.05804315090305;8.83014587938038;4.17741291663014;3.39009817508423;6.90746151458784;34.6452769641022;23.1527563188748;20.0112466903086;52.0866733600708;1.89363337943215
309;BGM-0306;5;7;3;3;2;6;2;3;3;3;1;5;0;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;4;3;2;5;90;17.84;5.7;3.130166325;23.8;2.096666667;25.45833333;51.90416667;4.06677935774629;2.35414427826895;1.93487615312144;8.96662995205844;3.51297500806458;3.29241299706553;4.49374416274681;34.0838235643752;13.5387616186077;15.3076761767276;45.6122494126186;1.80892115356219
314;BGM-0314;5;5;5;5;2;9;3;5;4;1;2;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;17.46;5.28;3.307482983;27.84;2.386666667;28.375;55.305;7.29682365544407;1.98368955307498;2.22171142582858;8.96662995205844;4.21002096401178;2.68590471624007;6.49456694827902;38.2656725376006;20.80167979538;27.8699462435839;40.3792747605908;2.1374630348512
315;BGM-0315;7;7;5;3;3;7;1;5;1;1;1;5;1;3;3;7;5;2;1;1;2;1;2;2;3;5;3;0;4;7;3;7;80;13.7;2.84;4.888382422;16.86;2.25;24.33333333;52.69666667;5.51274717202405;2.06925494828223;1.98426154920484;8.98468399105805;3.48735213613056;2.7582390961024;4.66641354039076;35.4347121001534;11.9051937597167;21.0188145314335;35.4630760495491;1.95312972326001
318;BGM-0319;7;7;5;9;3;6;2;5;4;3;1;5;1;5;3;3;5;1;3;1;1;0;2;2;7;5;3;0;4;5;1;5;0;15.84;3.5;4.573957897;22.26;1.543333333;24.77777778;52.05111111;5.16855496243768;2.06925494828223;2.1600110901704;9.4277316833123;5.11044002172674;3.33838151086241;5.82021244629501;33.1907754316442;22.3282454709553;25.405285229908;48.4160465409747;2.28283636642857
321;BGM-0324;5;2;5;5;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;3;3;1;2;7;5;2;1;3;3;2;5;100;11.18;2.38;4.731817168;10.94;2.67;22.66666667;54.10666667;3.62304836393889;2.11886896630814;2.06497897104695;8.46255225036987;4.37788609567228;4.1827254995024;5.28105793775183;34.4035555641571;16.685852573715;23.0254986012828;39.6286970001127;1.8972230343726
326;BGM-0332;5;5;5;3;3;6;1;3;4;1;1;5;1;5;3;3;5;1;3;1;2;1;2;2;7;0;3;0;3;3;2;5;100;13.22;3.36;3.943842166;19.32;1.863333333;28;91.83;6.18753892481935;2.06925494828223;2.05804315090305;9.01032391199419;4.27334064844847;3.39009817508423;7.29947005424046;35.4058380356009;25.1390468622521;20.3974336836041;51.8006319125436;2.03487236568142
328;BGM-0337;7;5;5;3;3;9;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;15.02;4.44;3.412052543;27.72;1.666666667;29.66666667;40.32333333;6.18753892481935;2.1019955909823;2.05804315090305;9.06905409352304;4.39224746951222;2.75262111887899;7.99560271186782;36.5932363455227;30.4735985455719;20.6325743394441;57.0959048382631;2.10677336358223
329;BGM-0338;3;5;5;5;3;6;2;3;3;1;1;3;0;5;3;3;5;1;2;1;2;2;2;2;7;5;3;0;3;3;2;5;100;18.54;4.96;3.756034318;25.78;3.706666667;28;70.8;4.58215695762938;2.06925494828223;2.05804315090305;9.43324087101759;3.81799651288416;4.00011579394452;7.37928553622402;35.453114568869;25.0600956095962;23.4053747372644;48.5989026831823;2.0684204193218
346;BGM-0366;5;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;2;5;90;10.1;2.66;3.792060564;12.02;2.966666667;25.08333333;62.0325;8.06786069375194;1.99188585684062;2.15695351925245;8.96662995205844;4.09550148544206;3.85213415123855;6.3302353698708;34.6756057461843;21.2937249773426;25.0477248387516;44.4407166933326;1.92818753577937
352;BGM-0376;5;7;3;7;2;6;2;5;3;1;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;3;1;7;80;12.28;4.38;2.809800971;20.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;8.6234848025057;4.03559442651072;3.54196005663819;4.39077046232445;32.82267346347;13.1830990679227;23.6572520332065;39.3155891830423;1.7056529300831
358;BGM-0386;3;7;5;5;2;7;1;5;1;1;1;5;1;5;3;7;5;1;1;1;3;1;1;2;3;3;3;0;4;3;3;5;90;16.04;4.38;3.685203803;26.46;2.583333333;24.75;57.55;6.12169920311095;2.57326071408994;2.13350713105774;8.96662995205844;4.05869954389622;2.48341472019041;5.153650513976;36.0699320126252;16.7460002465355;28.1861023726142;35.9104798279531;2.44485931901777
359;BGM-0388;5;5;5;3;2;3;3;3;3;1;1;5;0;5;7;3;5;1;2;1;2;3;2;2;7;5;3;0;4;3;2;5;90;11.26;3.28;3.444000654;11.28;2.073333333;25.125;61.67166667;4.42115065760058;2.01442699345652;1.76560893823576;9.04637181178131;3.86111412103806;4.15821191216061;6.15616731024036;34.5478698017;19.880441900827;18.5133710430119;53.0161123483108;1.6925033327992
368;BGM-0400;5;1;5;3;2;3;2;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;3;5;3;1;4;3;3;5;100;11.82;4.16;2.845564581;14.8;2.3;24.5;61.855;6.16294112383206;2.31677501366101;2.06497897104695;8.96662995205844;4.3683562813552;2.68020785097724;6.9260515962547;36.0213488029429;19.9680971679836;22.1727144699581;47.3111854863422;2.07445905105838
