Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
2018g-06-3;7;5;3;3;3;9;4;3;4;1;1;5;1;5;3;3;5;1;2;2;2;3;1;3;7;5;3;0;3;3;2;3;115;4;4;2;11.26;3.36;3.357696522;14.38;1.533333333;29.33333333;81.27333333;4.666666667;1.665;10.905;14.585;10.8;2.01;57.33;35.79
2018g-07-1;7;7;5;5;2;5;4;5;4;1;1;5;1;5;5;3;5;1;4;1;1;0;2;3;7;5;3;1;3;NA;1;3;0;2;6;1;15.4;3.76;4.091806092;21.86;1.323333333;24.66666667;51.33;7;2.58;13.845;10.395;1.87;1.82;38.41;37.13
2019g-04-03;7;9;3;3;3;9;4;5;4;3;2;5;1;5;1;3;3;1;2;1;2;2;1;3;7;5;3;1;3;3;2;3;110;NA;NA;NA;13.9;4.3;3.234466044;21.76;1.913333333;26;51.74333333;2;NA;NA;NA;NA;NA;NA;NA
2019g-05-05;3;2;3;3;2;9;4;3;3;1;3;3;1;4;7;3;3;1;1;1;2;2;2;3;7;3;2;0;3;3;1;3;90;NA;NA;NA;16.28;4.16;3.953545412;19.7;2.556666667;40.66666667;47.14333333;1.666666667;NA;NA;NA;NA;NA;NA;NA
2019g-05-08;7;9;3;3;3;6;2;3;3;1;2;5;1;5;1;3;5;1;1;1;2;2;2;1;7;0;3;1;3;3;1;5;105;NA;NA;NA;17.24;4.34;3.985477352;21.34;2.656666667;24;68.10666667;3.333333333;NA;NA;NA;NA;NA;NA;NA
2019g-05-09;5;7;3;5;1;5;4;5;4;3;1;3;0;5;7;3;3;1;1;2;2;3;1;2;7;5;2;1;3;3;2;5;90;NA;NA;NA;16.48;4.58;3.608241449;23.78;2.746666667;27.66666667;54.23666667;4.333333333;NA;NA;NA;NA;NA;NA;NA
2019g-08-01;3;3;3;3;3;9;4;3;4;3;1;3;1;4;7;7;3;1;1;1;2;2;2;3;7;0;2;0;3;3;1;5;115;NA;NA;1;14.36;3.62;3.969323308;16.56;2.3;35;64.47666667;3.333333333;2.11;13.37;26.075;14.635;11.445;63.735;34.09
2019g-08-02;3;7;3;3;3;9;4;3;4;3;1;3;1;3;3;7;3;1;1;1;2;2;1;3;7;5;3;0;3;3;1;5;100;NA;6;5;13.36;2.22;6.239336918;18;2.106666667;26.66666667;55.21333333;6.333333333;2.38;17.66;24.11;20.04;4.07;57.72;36.6
2019g-08-03;5;3;3;3;3;9;4;3;4;3;2;5;1;5;3;3;3;1;1;1;2;2;1;1;7;5;2;0;3;3;1;3;95;NA;4;3;15.02;2.46;6.114167472;17.56;1.96;18.66666667;64.49;4.666666667;1.85;14.31;21.03;12.28;8.75;59.51;30.52
2019g-08-06;9;3;3;3;3;9;4;3;4;4;1;3;1;5;1;3;3;1;1;1;2;2;2;3;7;5;2;0;3;3;2;5;100;NA;4;1;15.54;4.44;3.505317749;15.42;1.82;27.66666667;51.05666667;7;2.04;23.15;65.76;34.75;31.02;73.97;28.61
2019g-08-07;3;5;5;3;3;9;4;3;4;1;1;3;1;4;3;7;3;1;1;1;2;2;1;3;7;5;3;0;3;3;1;5;105;NA;6;3;15.3;2.82;5.630289125;16.48;2.02;34.33333333;52.46666667;5.333333333;2.14;19.03;46.89;38.28;8.61;71.13;30.63
2019g-08-08;7;7;3;7;2;5;4;3;4;1;1;3;1;5;3;3;3;1;1;1;1;0;1;3;7;5;3;0;3;3;2;5;0;NA;4;3;15.26;4.52;3.392815045;26.92;1.516666667;26;62.04333333;2.666666667;2.59;14.17;8.65;6.01;2.64;37.92;34.17
2019g-08-09;5;5;3;3;3;9;4;3;4;1;2;5;1;3;3;7;3;1;4;1;2;2;2;3;7;5;3;0;3;7;1;5;105;NA;6;1;14.72;2.42;6.118605308;19.22;1.91;23.33333333;49.88333333;4.666666667;2.08;18.06;21.08;7.19;13.89;53.86;40.73
2019g-08-10;3;3;3;3;3;8;2;3;4;1;2;3;1;3;1;3;3;1;3;1;2;2;2;3;7;3;3;0;3;3;2;3;100;NA;4;2;16.96;3.16;5.387898833;22.04;1.52;39.66666667;56.79;5.666666667;2.265;21.32;33.39;21.275;12.115;61.05;32.435
2019g-08-11;3;7;3;3;3;8;2;3;1;1;1;5;1;4;7;7;3;1;1;1;2;2;2;3;3;0;3;0;3;7;1;5;95;NA;3;3;20.38;2.52;8.219999999;25.32;2.446666667;28;67.65333333;4;2.66;49.21;29.27;24.9;4.37;37.29;38.08
2019g-08-12;5;3;3;3;3;9;3;3;4;1;1;5;1;5;3;3;3;1;1;1;1;0;1;4;7;3;3;0;3;7;1;5;0;NA;NA;1;20.86;5.48;3.806196602;26.74;2.61;35;62.76666667;3;1.6;9.03;17.71;15.97;1.74;66.23;NA
2019g-08-13;3;7;3;3;2;8;2;3;3;1;1;5;1;5;3;3;3;1;1;1;1;0;2;3;7;0;3;0;3;3;2;3;0;NA;6;5;20.74;5.16;4.03916271;24.02;1.936666667;35;67.06666667;4;2.435;34.455;51.51;43.225;8.29;59.91;33.36
2019g-08-15;3;3;5;3;3;9;4;3;4;1;2;5;1;4;3;3;5;1;4;1;1;0;2;3;7;3;3;0;3;3;1;5;0;NA;4;1;16.36;2.7;6.084037514;21.92;2.05;21.33333333;44.51666667;4.333333333;1.47;16.32;10.88;10.88;0;40;NA
2019g-08-16;5;5;3;7;2;5;4;5;4;1;2;3;1;5;7;3;3;1;1;1;2;2;2;3;7;0;3;1;3;3;1;3;105;NA;4;1;12.7;3.54;3.582168882;14.58;1.823333333;19;51.49;2.666666667;1.68;7.29;10.94;10.94;0;60;NA
2019g-08-17;3;7;3;3;3;6;2;3;3;3;1;3;1;5;3;3;3;1;4;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;4;5;13.02;3.98;3.294286392;18.4;16.12666667;23.33333333;45.08;3.333333333;2.22;13.02;12.76;7.73;5.03;49.49;34.76
