Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
BGM-0148;7;5;3;5;3;6;2;5;4;2;1;5;0;5;3;3;5;1;1;1;2;2;1;2;7;5;3;0;3;3;1;5;90;5;8;1.8;19.18;6.04;3.178729935;31.06;3.016666667;20.88888889;61.37555556;3.777777778;2.045833333;25.1;14.10333333;10.37363636;4.264285714;35.885;36.79833333
BGM-0149;9;3;5;3;2;5;4;3;4;4;2;5;0;5;3;3;3;1;3;2;2;1;NA;2;7;5;3;1;3;7;1;5;90;1;NA;NA;14.24;3.76;3.78464657;21.18;NA;NA;NA;NA;2.582857143;42.70428571;39.58857143;34.64857143;6.256666667;47.20285714;35.84857143
BGM-0150;5;3;3;3;3;9;4;3;4;2;1;5;1;5;3;NA;3;1;2;1;2;2;1;3;7;3;3;0;3;3;2;5;115;3;8;2.285714286;12.76;4.3;2.974359577;20.36;2.153333333;30.85416667;56.38416667;4.625;1.958461538;22.31846154;19.33384615;14.2875;4.66;47.01923077;34.00538462
BGM-0150A;3;5;3;3;2;5;4;3;4;1;1;3;1;5;3;3;3;1;1;1;2;2;2;4;7;5;3;0;3;3;1;3;105;3;8;1;16.32;5.92;2.771994672;28.9;2.453333333;30.5;57.08833333;2.333333333;1.855;15.12;5.925;3.31;0.64;27.79;36.22
BGM-0150B;7;3;3;3;3;3;4;3;4;1;1;5;1;5;3;3;3;1;1;1;2;2;1;3;7;5;2;0;4;3;2;5;85;2;8;5;12.04;3.88;3.129829418;17.38;2.516666667;31.5;50.975;3.5;1.905;13.89;9.15;6.4;1.93;39.64;34.275
BGM-0151;5;3;5;3;3;7;1;3;1;1;1;5;0;5;3;7;5;1;1;1;1;0;1;2;3;5;3;0;4;3;3;5;0;3;8;1.714285714;16.04;4.5;3.566648005;28.04;3.006666667;28;56.67916667;4.041666667;1.963636364;26.56363636;14.62272727;8.636;6.481;34.94363636;31.95909091
BGM-0152;3;7;3;3;3;6;4;3;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;3;7;5;3;1;4;3;1;3;90;5;6;1.833333333;15.08;5.4;2.797443701;23.78;2.398333333;26.79166667;63.22291667;4.208333333;1.875454545;19.54272727;23.29363636;19.31;4.41;49.61181818;33.26181818
BGM-0152A;NA;9;3;3;3;9;4;NA;4;1;1;NA;1;5;NA;3;NA;1;NA;2;2;3;2;NA;NA;NA;NA;0;3;3;NA;3;100;4;6;1;12.7;4.38;2.917883442;16.66;1.844166667;36.91666667;65.65583333;4.083333333;1.89;9.72;9.33;NA;NA;48.97;37.41
BGM-0152B;7;5;3;7;3;6;2;5;4;3;1;3;1;5;3;3;3;1;1;1;2;2;2;3;7;0;3;0;4;3;2;5;105;3;3;1;14.04;3.84;3.656428571;19.84;2.021666667;15.66666667;60.67;3.166666667;2.055;11.32;9.465;8.22;2.64;46.415;32.76
BGM-0153;9;5;5;3;3;6;2;5;4;1;1;5;0;5;3;7;5;1;1;1;2;2;NA;2;7;5;3;1;4;7;1;5;90;5;NA;NA;8.06;2;4.049075587;11.92;NA;NA;NA;NA;2.333333333;26.67;9.34;6.273333333;1.245;24.18166667;41
BGM-0155;5;5;5;3;3;9;2;3;3;1;1;3;0;5;3;3;5;1;4;1;2;0;1;2;7;5;2;0;3;3;1;5;100;1;3;2.428571429;10.98;3.14;3.507023429;13.74;2.153333333;29.83333333;63.42666667;4.916666667;2.0155;25.3775;27.606;21.45526316;6.941666667;53.794;34.74105263
BGM-0156;5;3;5;3;3;7;3;3;4;1;1;7;0;2;3;3;5;1;2;1;1;1;1;2;7;3;3;0;3;3;3;5;0;1;8;2.125;12.32;4.18;2.946893107;19.54;2.923333333;36.79166667;65.6825;3.875;2.190666667;27.43933333;23.28333333;17.74384615;5.36;45.14666667;34.35
BGM-0157;7;5;5;3;3;7;1;3;4;1;1;5;0;5;3;3;3;1;1;1;1;0;2;3;7;5;2;0;4;3;2;3;0;1;8;2;16.3;5.44;2.999664564;24.18;2.336666667;21.70833333;63.17666667;4.583333333;2.065;20.84583333;19.84583333;14.18636364;6.086;46.25583333;34.2975
BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;3;8;1.4;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;2.777777778;2.09875;15.5125;4.32375;1.767142857;2.241666667;29.5825;30.984
BGM-0160;5;1;5;3;3;9;2;3;4;1;1;5;1;5;3;3;5;1;4;1;1;0;1;2;7;5;3;0;3;3;1;5;0;1;8;1.6;17.18;5.5;3.126181929;22.64;2.576666667;24.66666667;67.79666667;4.333333333;1.944444444;23.14388889;29.68833333;26.36352941;3.862307692;56.80333333;35.26705882
BGM-0161;3;3;5;3;3;7;1;3;1;1;1;7;1;2;3;7;5;1;1;1;3;1;2;2;3;5;3;0;4;3;3;3;90;3;4;1.714285714;19.4;6.32;3.075266536;29.82;1.726666667;26.58333333;56.5125;2;1.649230769;13.52307692;12.00769231;9.9375;2.781666667;44.04153846;33.245
BGM-0162;3;2;3;3;3;6;2;3;4;1;1;5;1;5;3;3;3;1;1;1;2;2;2;3;7;0;3;0;3;3;2;5;90;3;8;2;11.08;2.66;4.163756614;13.96;3.135;24.75;64.62916667;4.520833333;2.181304348;30.68043478;23.97173913;18.57590909;5.77;43.86956522;35.43818182
BGM-0162A;3;2;3;3;3;9;4;3;4;1;1;5;1;5;1;7;3;1;1;1;2;3;1;3;7;0;2;0;4;3;2;3;100;3;6;1;11.94;3.66;3.291048644;16.36;3.006666667;32.33333333;76.495;3.666666667;2.06;22.675;17.9;23.68;4.76;40.215;36.23
BGM-0162B;3;2;3;3;3;9;4;3;4;1;1;3;1;5;1;3;5;1;2;1;2;3;2;3;7;5;3;0;3;3;2;5;100;4;8;1;11.04;3.78;2.968079289;19.056;2.311666667;31.5;65.96;4.333333333;2.25;28.23;22.175;19.52;3.19;44.745;36.19
BGM-0163;5;2;5;3;3;9;3;3;4;1;1;3;1;5;3;3;5;1;3;1;2;1;1;2;7;5;3;0;3;3;2;5;120;1;8;2.428571429;16.36;5.16;3.170623764;24.92;2.23;21.77777778;66.92888889;3.388888889;2.608;35.848;23.262;17.93785714;6.007;36.13266667;39.51666667
BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;5;4;1.666666667;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;5.75;1.815238095;23.94;21.6347619;14.9685;8.024375;47.47857143;34.192
BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;3;6;1;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;7.666666667;2.4;27.71166667;33.86333333;31.565;9.65;55.79333333;41.325
BGM-0166;3;5;5;5;3;6;2;5;4;1;1;5;1;5;3;7;5;1;3;1;1;2;2;2;7;0;3;0;4;7;2;5;0;5;3;1;19.2;4.76;4.032161107;31.44;3.623333333;26.66666667;53.82666667;3;2.28;34.90076923;34.45692308;33.3125;3.83125;46.26538462;33.52
BGM-0167;3;7;5;5;3;6;2;5;4;1;1;7;1;5;3;7;5;1;2;1;1;0;2;3;7;5;3;0;4;3;2;3;0;3;4;2.142857143;19.06;4.9;3.890843137;29.74;3.416666667;30.04166667;59.31916667;3.5;2.339230769;28.58692308;26.99538462;22.92083333;5.436666667;43.66769231;33.80076923
BGM-0168;5;3;5;3;2;5;4;5;4;1;1;5;1;2;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;3;0;3;8;2.285714286;15.68;6.68;2.347954818;28.74;4.01;27.79166667;75.55916667;2.791666667;1.759230769;18.15153846;17.41;14.1025;3.275;47.68769231;33.61153846
BGM-0169;5;7;5;5;3;6;3;5;4;1;1;7;1;2;7;7;5;1;2;1;2;0;2;1;7;5;3;0;3;3;1;5;90;5;8;1.857142857;12.16;4.14;3.010918679;20.08;4.363333333;29.70833333;81.1525;3.291666667;2.041666667;21.6925;18.99833333;15.45090909;3.449090909;40.47;34.73272727
BGM-0170;5;3;5;3;3;6;3;3;4;1;1;5;1;2;3;3;5;1;2;1;2;1;2;3;7;5;3;0;3;3;2;5;90;3;8;2.166666667;17.12;5.64;3.033235867;28.16;3.426666667;24.79166667;68.53416667;5.916666667;1.82;21.357;26.973;13.97888889;12.45111111;56.284;34.886
BGM-0171;5;7;5;5;3;9;3;5;4;1;1;5;1;5;3;3;5;1;4;1;1;1;2;2;7;5;2;0;3;3;3;3;0;3;8;2.25;18.94;4.48;4.245583748;28.26;2.223333333;33.375;60.455;4.375;2.458333333;30.38166667;28.715;18.88909091;8.783636364;45.8925;33.2
BGM-0174;3;7;5;5;3;6;2;5;3;1;1;5;1;5;3;3;5;1;1;1;1;2;2;2;7;5;3;0;3;3;3;5;90;3;3;1.714285714;10.16;3.12;3.269003456;15.68;2.54;22.66666667;67.79666667;2.333333333;2.015;25.271;9.458;6.515555556;3.776666667;23.768;33.59555556
BGM-0175;5;5;5;3;2;6;3;3;2;1;1;7;1;5;3;3;5;1;2;1;1;2;NA;2;7;3;3;0;3;7;NA;5;100;3;NA;NA;17.16;4.96;3.469235916;31.56;NA;NA;NA;NA;2.398333333;30.50333333;24.03333333;17.85166667;13.02;41.77833333;35.014
BGM-0177;7;9;5;7;3;7;2;5;3;1;1;5;1;5;3;3;3;1;3;1;2;2;2;4;7;0;3;0;3;3;1;3;100;5;6;1;14.9;4.18;3.565009865;21.98;2.846666667;31.33333333;70.31666667;3.333333333;2.3725;31.52;18.845;15.50571429;5;39.7625;37.18125
BGM-0178;5;7;5;3;3;9;2;3;1;1;1;5;1;5;3;7;5;1;2;1;1;2;2;3;3;5;3;0;4;3;3;5;100;3;8;1.428571429;11.98;3.72;3.216253403;16.04;2.623333333;27.625;64.90416667;4.166666667;1.927777778;26.82111111;19.69777778;14.2825;5.36;39.94111111;34.89333333
BGM-0179;3;2;5;3;3;6;2;3;3;1;1;5;1;7;3;3;5;1;1;1;1;2;2;2;7;5;3;0;4;3;1;5;90;1;6;2.214285714;16.5;4.8;3.450886706;28.34;2.64;29.70833333;65.20416667;4.6875;1.89;26.25047619;21.78428571;17.331;5.073333333;46.14380952;33.582
BGM-0181;3;9;5;5;3;7;2;5;1;1;1;5;1;5;3;7;5;1;1;1;1;0;NA;3;3;3;2;0;4;5;2;5;0;3;NA;2;15.36;4.4;3.47980564;24.58;2.63;29.66666667;44.08333333;2.666666667;1.6075;14.3825;7.27;3.0975;4.175;35.9275;28.84
BGM-0182;7;7;5;9;3;6;3;7;4;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;7;0;2;0;3;3;1;7;0;5;2;1;17.24;5.24;3.292146089;29.36;0.926666667;38;53.77;7.333333333;2.65;27.31875;28.375;24.52;2.81;49.46;34.9225
BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;3;4;2;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;4.666666667;2.26125;33.0875;24.8425;22.21;4.46;40.3;30.55625
BGM-0184;7;5;5;3;2;7;1;5;4;1;1;5;1;5;3;3;5;1;4;1;1;0;1;1;3;5;3;0;3;5;3;5;0;1;8;1.4;15.36;3.02;5.098921304;24.58;1.536666667;25.44444444;65.77333333;4.222222222;2.263571429;23.49571429;24.44714286;18.38153846;6.673333333;53.505;37.01071429
BGM-0185;3;7;5;5;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;2;2;1;7;5;3;0;3;3;3;5;120;3;3;1.857142857;22.46;5.84;3.84890838;33;2.986666667;27.70833333;70.75583333;4.625;1.909090909;26.35272727;23.79909091;19.849;5.272;42.23272727;31.73454545
BGM-0186;3;1;5;5;2;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;3;2;1;2;7;3;3;0;4;3;2;5;90;3;4;1.857142857;9.24;3.34;2.766417855;12.7;2.506666667;21.70833333;60.74666667;4.041666667;1.554;9.824;8.597;3.858888889;4.488888889;45.134;33.774
BGM-0187;5;7;5;3;3;6;3;5;3;2;1;5;1;5;3;7;5;1;1;1;3;2;2;2;7;3;3;0;3;3;1;5;90;3;2;1.142857143;19.58;5.64;3.47083826;27.46;2.303333333;26.25;52.59916667;6.041666667;1.955;17.86714286;21.12214286;14.21230769;7.176923077;52.88785714;33.12692308
BGM-0188;5;5;5;3;3;9;3;3;4;1;2;5;1;4;3;7;5;1;2;1;3;3;2;2;7;5;2;0;3;3;2;7;110;3;6;1.666666667;17.86;3.88;4.631933099;23.34;1.916666667;21.66666667;60.01;4.333333333;2.211052632;37.85263158;33.84157895;30.05888889;4.554285714;47.78157895;34.16222222
BGM-0189;5;3;3;5;3;6;2;3;4;2;1;3;1;5;3;3;5;1;1;1;2;2;2;2;7;3;3;0;4;7;1;5;90;5;4;1.333333333;16.62;4.98;3.338036953;25.02;1.766666667;17;45.91666667;4.333333333;2.144666667;28.73266667;27.40066667;21.58571429;8.177;47.43266667;36.43928571
BGM-0190;9;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;2;1;2;2;2;2;7;5;3;1;3;5;2;3;90;5;6;1.428571429;16.66;4.66;3.574214707;22.66;1.75;33.44444444;63.17666666;5.444444445;2.291818182;33.05454545;22.78727273;19.79444444;4.16625;40.72272727;35.435
BGM-0195;7;7;5;5;1;4;1;5;3;1;1;5;0;5;3;7;5;1;1;1;1;0;1;2;7;0;3;0;3;3;3;3;0;3;3;1.6;18.3;6.06;3.028770813;27.32;2.91;25.77777778;54.01333333;4.444444444;2.184444444;24.66888889;27.29;22.41875;5.184285714;52.02777778;35.13111111
BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;3;8;1.111111111;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;2.710833333;1.724666667;15.97933333;7.484666667;4.095714286;3.63;35.44266667;33.645
BGM-0201;7;3;5;3;2;5;4;5;4;1;2;3;0;5;3;3;5;1;1;1;3;2;1;2;7;5;3;1;3;3;1;5;90;1;4;1;16.62;5.12;3.237638741;26.04;1.44;33;55.05333333;4.666666667;2.032142857;18.86642857;21.56071429;18.20615385;4.425;52.065;30.348
BGM-0202;5;3;5;3;3;5;2;5;4;1;1;3;0;5;3;3;5;1;2;1;1;0;1;1;7;0;3;0;3;3;1;5;0;3;4;1.666666667;12.22;4.12;2.962977869;19.7;2.79;24.20833333;61.19;6.458333333;1.964166667;16.065;22.25083333;15.46272727;7.635454545;56.66916667;30.41333333
BGM-0204;7;3;5;3;2;6;2;3;4;4;2;3;0;5;3;3;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;5;90;3;8;1.4;14.84;4.38;3.384081633;19;1.82;22;58.03;5.977777778;1.926666667;19.14833333;18.52666667;9.382727273;5.931428571;49.23;34.03454545
BGM-0205;7;1;5;3;1;4;2;3;4;2;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;5;1;3;0;3;8;1.4;17.3;4.86;3.574696988;21.92;2.433333333;18.55555555;55.20666667;2.333333334;1.6725;17.73375;13.185;10.28142857;2.35;41.30875;28.9
BGM-0206;7;1;5;3;1;5;4;3;4;2;1;5;1;5;3;3;5;1;1;1;2;0;NA;2;7;0;3;0;3;7;1;3;80;3;8;2;15.72;4.1;3.835083077;21.24;2.94;20.66666667;58.57222222;3.111111111;1.671666667;17.75;10.32666667;5.966666667;5.862;35.41;31.784
BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;1;4;1;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;5;2.513333333;33.78533333;19.24066667;16.23857143;4.107;35.00866667;31.67266667
BGM-0208;5;7;5;5;3;9;3;5;3;1;1;5;1;2;3;3;5;1;4;1;1;1;2;2;7;5;2;0;3;3;1;3;0;3;8;2;16.68;5.38;3.104136537;25.08;2.86;22.875;65.14166667;3.791666667;1.951818182;24.03454545;18.31090909;11.879;6.548;41.92545455;33.73909091
BGM-0209;9;3;5;3;3;6;2;5;4;1;1;5;0;2;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;3;0;3;8;2.4;18.44;6.26;2.946176003;27.28;2.9;29.70833333;64.43666667;4.625;2.106363636;24.92090909;18.69545455;13.734;5.845555556;42.50272727;32.10727273
BGM-0210;7;3;5;3;3;6;2;5;4;1;1;5;1;5;3;3;5;1;2;1;2;1;2;2;7;5;3;0;3;3;1;5;90;3;6;1.857142857;11.1;3.22;3.44971077;15.52;3.033333333;29;67.90166667;3.825;1.911818182;22.74636364;18.59909091;12.978;4.949;45.3;33.25272727
BGM-0211;9;5;5;5;3;6;3;7;4;4;1;3;0;5;3;7;5;1;2;1;2;2;1;2;7;5;2;1;3;5;1;7;100;3;3;1;19.68;6.3;3.125092963;33.32;2.69;30.22222222;59.32888889;3.777777778;1.995333333;15.78933333;16.79733333;12.20857143;6.19;53.36933333;32.736
BGM-0212;5;7;5;5;3;6;2;5;4;1;2;5;1;5;3;7;5;1;1;1;1;1;1;2;7;5;3;0;3;3;1;NA;40;1;4;2.109375;13.62;3.5;3.897380031;18.84;2.243333333;26.875;62.27666667;4.040833333;2.143908046;16.1458046;17.18149425;12.28560694;5.386689189;52.12229885;34.68482759
BGM-0213;3;7;5;5;1;3;3;5;4;4;1;5;1;2;3;3;5;1;1;1;2;3;1;2;7;3;3;1;3;3;3;3;110;5;3;1.5;13.62;4.28;3.183680159;18.96;2.336666667;22.54166667;53.0525;3.918333333;1.748;13.75733333;12.71266667;7.473571429;4.220714286;49.32533333;31.38642857
BGM-0214;7;1;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;4;1;1;0;1;2;7;5;2;0;3;3;1;7;0;1;6;2;16.8;4.92;3.432952668;20.42;2.4;22.33333333;61.13333333;3.333333333;2.153333333;26.68666667;33.84888889;29.39470588;4.751538462;57.33888889;34.89444444
BGM-0215;5;2;5;3;3;7;2;3;1;1;1;5;0;5;3;3;5;1;1;1;3;3;1;2;3;5;2;0;3;3;2;5;120;5;8;1.666666667;13.58;3.42;3.97062937;16.96;2.176666667;13.88666667;52.23;2.113333333;1.921052632;18.34421053;15.70894737;11.66588235;4.521176471;41.16315789;33.93833333
BGM-0216;3;5;5;3;3;6;3;3;4;1;1;7;0;5;3;7;5;1;1;1;3;1;2;2;7;5;3;0;3;3;3;5;110;5;4;2;10.44;3.42;3.05297086;14.58;2.503333333;30.08416667;63.8275;5.04;1.684375;20.13666667;17.876;12.56714286;6.251428571;51.92266667;32.62533333
BGM-0217;7;7;3;5;2;8;1;5;3;1;1;3;1;5;3;7;5;1;1;2;2;2;NA;2;7;5;3;0;4;3;2;7;100;1;NA;NA;12.34;3.84;3.225979975;20.08;NA;NA;NA;NA;2.26;34.19888889;20.01777778;17.21555556;2.666;36.45777778;31.55
BGM-0220;3;3;5;3;2;7;2;3;3;1;1;5;0;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;3;5;80;1;3;1.714285714;10.78;3.3;3.265106484;15.78;2.616666667;25.20833333;62.97083333;3.541666667;1.926363636;21.46181818;17.05545455;11.079;5.391;43.00818182;34.12272727
BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;NA;2;3;0;3;0;3;3;2;5;0;5;NA;NA;10.74;2.66;4.187824807;14.14;NA;NA;NA;NA;2.746666667;44.21333333;28.77333333;24.6;4.735;38.86333333;31.62333333
BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;3;2;1.35;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;4.166666667;1.971538462;15.70230769;15.91461538;13.75363636;3.697272727;46.74615385;34.10076923
BGM-0226;3;7;5;5;3;6;2;5;4;1;1;5;0;5;3;3;5;1;2;1;3;1;1;3;7;3;3;1;3;3;2;5;90;5;6;1.555555556;8.54;3.12;2.742531328;11.98;2.3;27.00083333;51.9875;2.335;1.720625;18.72375;10.480625;5.498;4.737857143;35.066875;35.38714286
BGM-0232;7;9;5;9;2;5;4;7;4;2;1;5;1;2;3;7;5;1;1;1;2;1;NA;2;7;0;3;0;3;3;1;5;100;1;NA;NA;9.62;3.42;2.828188907;10.84;NA;NA;NA;NA;3.07;54.5;26.48;22.72666667;3.37;34.01;38.39333333
BGM-0235;5;7;5;5;3;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;0;3;0;3;3;1;5;110;3;6;2;11.98;2.82;4.278665075;17.54;2.426666667;33.625;65.1525;5.041666667;2.2425;23.80416667;26.26083333;18.25181818;7.410909091;51.01;33.74833333
BGM-0236;5;5;5;3;3;6;1;3;1;1;1;5;1;5;3;3;5;1;2;1;3;1;2;2;NA;5;2;1;4;3;2;5;90;3;6;2;11.04;4.08;2.70087969;15.14;2.276666667;34.04166667;64.48166667;4.875;1.905909091;23.60095238;29.23238095;24.8215;4.719444444;53.42238095;33.50047619
BGM-0237;5;9;5;7;3;9;3;5;4;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;5;0;3;8;2.285714286;10.58;2.58;4.102456194;15.64;2.496666667;30.625;63.35666667;4.375;2.392307692;24.27846154;30.09153846;19.71833333;8.820833333;53.47615385;32.56923077
BGM-0238;5;7;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;1;3;3;1;5;90;3;4;1.428571429;10.64;3.58;2.976260504;13.34;3.013333333;27.79166667;65.24666667;2.875;2.254545455;18.78454545;11.28;7.56;2.633;31.41272727;33.504
BGM-0239;5;3;5;3;3;9;2;3;4;1;2;5;0;4;7;7;5;1;1;2;2;3;1;2;7;5;2;0;3;3;2;5;110;5;8;1.125;13.58;1.44;9.660239956;17.86;2.106666667;25.875;54.84333333;2.375;1.875714286;22.29214286;9.815;7.098333333;2.273636364;30.185;33.47583333
BGM-0240;5;7;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;3;5;3;0;4;3;3;5;100;3;8;1.714285714;13.92;3.16;4.401965384;14.02;3.803333333;25.75;71.83166667;4.166666667;1.748181818;14.37636364;19.58363636;13.52;5.265;56.32090909;33.48272727
BGM-0241;5;3;3;5;3;6;3;5;4;1;1;5;1;5;3;3;5;1;3;1;2;1;NA;2;7;5;2;0;4;3;2;5;90;3;3;2.5;15.12;4.18;3.617152256;20.22;3.653333333;41.66666667;65.64333333;3.333333333;2.408333333;26.91666667;18.03666667;14.445;3.591666667;42.04666667;34.37
BGM-0242;9;7;5;3;3;8;2;5;1;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;0;4;7;3;7;90;5;8;2;13.16;3.36;3.936110916;19.48;2.006666667;21;38.24666667;2;2.197142857;44.68;20.43714286;16.25;4.113333333;29.49714286;31.94428571
BGM-0246;7;7;5;7;3;9;3;5;4;1;1;3;1;2;3;3;5;1;1;1;2;1;2;3;7;5;3;0;3;3;2;5;100;3;8;1.5;14.82;4.42;3.345725339;23.86;3.003333333;23.33333333;71.45666667;3.333333333;1.80125;18.27625;37.42375;35.71142857;6.031666667;60.9325;33.15125
BGM-0247;5;3;5;3;3;6;1;3;1;1;1;3;1;5;1;7;5;1;1;1;2;1;2;2;3;3;2;0;4;3;3;5;90;1;8;1.714285714;18.68;3.4;5.522289818;24.9;3.636666667;31.95833333;61.64083333;5.458333333;1.847272727;21.27272727;17.65818182;11.495;5.65;46.44454545;34.69454545
BGM-0248;7;1;5;3;2;8;4;3;4;3;2;3;1;5;3;7;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;7;90;3;4;1;11.64;3.84;3.066485059;17.82;2.306666667;27.44444444;52.17444444;5;2.116666667;16.09333333;12.28666667;7.874545455;6.76;41.215;33.07272727
BGM-0249;7;5;5;3;2;7;1;5;3;1;1;5;1;5;3;7;5;1;1;1;1;1;2;2;3;5;3;0;3;3;3;3;0;5;8;2.5;16.94;4.64;3.667335697;30.54;1.963333333;24.55555556;59.81;3.222222222;2.398181818;29.34090909;18.96454545;14.97375;5.231428571;40.84636364;36.47
BGM-0249-(A.Marag);3;7;3;3;3;8;2;3;4;1;1;3;1;5;1;3;3;1;2;1;2;3;2;3;7;3;3;1;3;5;2;5;115;3;4;2;12.68;3.76;3.374056419;17.46;2.39;29.16666667;64.485;5.833333333;2.336666667;30.98;24.04;25.43;4.165;42.25666667;33.22
BGM-0250;7;3;5;3;2;5;2;3;3;3;2;3;1;5;3;3;5;1;1;1;2;2;1;2;7;3;3;1;4;7;1;7;100;1;NA;1;15.64;4.88;3.208358735;20.14;1.896666667;25.66666667;45.74;3.666666667;1.824666667;19.27142857;21.91357143;18.26769231;5.756666667;51.81071429;30.73538462
BGM-0252;5;NA;5;3;3;6;2;3;4;3;2;5;1;4;3;3;5;1;1;1;1;0;1;2;7;3;2;0;3;3;1;5;0;3;4;1.5;13.8;4.16;3.320036289;19.64;1.893333333;25.55555555;54.03888889;5.011111111;2.006666667;21.865;20.28;14.554;8.364;49.23666667;32.20666667
BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;5;4;1.833333333;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;6.111111111;2.1375;17.61416667;20.12416667;14.99818182;8.197142857;50.07;36.75333333
BGM-0255;5;7;3;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;3;2;NA;3;7;5;3;1;4;7;1;5;90;5;8;NA;10.88;2.92;3.736753813;11.6;NA;NA;NA;NA;2.23;36.59;14.49333333;10.35666667;3.12;29.25666667;28.10666667
BGM-0257;5;5;5;3;2;8;3;3;2;2;3;3;1;5;3;7;5;1;1;1;3;3;1;3;7;3;3;1;4;3;3;5;90;3;8;1;15.12;2.74;5.563888765;16.78;1.946666667;24.46083333;48.59333333;3.75;1.79;13.38058824;13.03176471;8.333125;4.2525;44.86411765;35.57294118
BGM-0260;3;9;3;5;3;3;4;5;4;4;1;5;1;5;3;7;5;1;1;1;2;1;1;2;7;3;2;0;3;3;1;5;90;3;3;2;14.94;4.92;3.040997268;23.7;2.52;24.75;46.7275;5.166666667;1.812857143;12.32357143;11.68785714;6.825384615;5.193846154;43.54;34.97857143
BGM-0261;3;7;5;3;3;6;3;5;4;3;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;5;0;3;8;2.285714286;11.32;2.54;4.491560847;14.04;2.17;26.54166667;56.57416667;4.041666667;2.39;20.28571429;21.86571429;16.38076923;5.484615385;50.72285714;33.13071429
