Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
BGM-2129,5,3,5,3,3,6,3,3,4,1,1,5,1,5,3,7,5,1,1,1,1,0,NA,2,7,5,2,0,3,3,1,3,0,15.06,4.78,3.153718954,23.12,2.213333333,30,64.50333333
BGM-2130,7,5,5,3,3,7,1,3,1,1,1,5,1,2,3,7,5,1,2,NA,1,0,NA,2,3,0,NA,0,3,3,1,3,0,15.1,5.58,2.706160944,27.4,NA,NA,NA
BGM-2132,7,7,5,3,1,4,2,5,2,1,1,5,1,2,3,7,5,1,1,1,3,1,2,2,7,0,3,0,3,3,1,5,90,15.2,3.96,3.852197706,18.76,1.186666667,25.33333333,48.57333333
BGM-2133,7,3,5,5,3,7,1,5,1,1,1,3,1,2,3,7,5,1,2,1,2,2,2,2,3,0,3,1,4,3,3,3,100,14.88,5.14,2.895511685,25.08,4.203333333,35.66666667,85.86333333
BGM-2134,5,3,5,3,3,8,3,3,4,2,1,5,1,5,3,3,5,1,2,1,2,1,2,2,7,0,3,0,4,3,2,3,90,17.66,4.48,3.942471632,26.32,1.87,19.66666667,43.36333333
BGM-2135,7,5,5,5,3,9,2,3,4,3,1,5,1,5,3,7,5,1,1,1,2,1,1,2,7,0,3,0,4,5,2,5,90,16.76,4.72,3.553654989,23.64,1.863333333,32.66666667,43.35
BGM-2136,3,7,5,5,3,4,1,5,3,3,1,5,1,5,3,7,5,1,1,1,1,0,2,2,3,0,3,0,4,NA,3,3,0,17.2,5.12,3.359430586,22.1,1.98,24,61.67666667
BGM-2138,5,3,5,3,3,7,1,3,1,2,1,5,1,5,3,7,5,1,1,1,3,2,NA,2,3,0,NA,1,4,NA,3,3,80,14.7,3.76,3.909530583,18.68,NA,NA,NA
BGM-2140,7,7,5,3,3,6,1,5,3,1,1,3,1,5,3,3,5,1,2,1,2,1,2,2,7,3,3,0,3,3,1,5,100,12.4,3.46,3.597246241,15.4,3.486666667,25.88888889,56.67222222
BGM-2142,5,7,5,5,1,4,1,5,1,1,1,5,1,5,3,7,5,1,1,1,2,2,2,3,7,0,3,0,3,3,3,5,90,16.32,5.06,3.22848325,22.42,2.603333333,32.66666667,58.35
BGM-2143,7,5,5,3,3,8,2,5,4,3,1,5,1,7,3,3,5,1,1,1,2,1,1,2,7,0,3,0,3,3,3,5,90,18.78,2.98,6.309256254,23.46,2.193333333,20.66666667,56.47
BGM-2145,5,1,5,3,3,9,3,3,4,1,1,5,1,5,3,7,5,1,1,1,3,0,2,2,7,0,3,0,4,3,1,3,100,19.84,5.4,3.67461075,26.98,2.336666667,38.66666667,60.03333333
BGM-2147,7,5,5,3,3,6,2,5,1,3,1,3,1,5,3,7,5,1,1,1,2,1,2,2,3,0,3,0,4,3,1,3,80,19.42,4.4,4.426696618,29.18,1.616666667,21,62.25666667
BGM-2148,5,1,5,3,1,5,1,3,2,1,1,5,1,2,3,7,5,1,1,1,1,0,2,2,7,3,2,0,3,3,3,3,0,18.38,6.08,3.027305374,24.78,1.726666667,21.33333333,62.67333333
BGM-2149,3,5,5,5,1,4,1,5,1,3,1,3,1,5,3,7,5,1,1,1,1,0,2,2,3,0,2,0,4,NA,3,3,0,16.06,4.74,3.394527637,23.26,1.97,28.33333333,62.40333333
BGM-2151,5,NA,NA,5,2,6,1,5,3,1,1,5,1,5,3,7,5,1,2,1,1,1,2,3,7,5,2,0,4,3,2,NA,110,17.44,5,3.498590334,27.24,2.443333333,30.19041667,64.52916667
BGM-2152,7,7,3,5,2,3,2,7,3,1,1,5,1,5,3,7,5,1,1,1,2,1,NA,2,7,3,2,0,3,3,1,5,90,17.76,4.06,4.385138278,22.96,2.035,17.5,54.635
BGM-2153,7,7,3,5,1,4,2,5,3,1,1,5,1,5,3,7,5,1,1,1,2,0,2,2,7,0,3,0,3,3,3,3,90,18.56,5.54,3.350577781,28.08,2.006666667,36.66666667,67.17
BGM-2154,7,5,5,3,3,6,3,3,4,1,1,5,1,2,3,7,5,1,2,1,1,0,1,2,7,0,2,0,4,NA,3,5,0,15.62,5.12,3.085191862,28.14,2.306666667,28,52.05333333
BGM-2155,7,3,5,3,3,7,1,3,1,1,1,3,1,5,3,7,5,1,2,1,2,1,2,2,3,0,3,0,4,3,1,3,90,20.56,5.22,3.951627378,23.94,1.943333333,34,51.53666667
BGM-2156,7,3,5,3,3,5,1,5,2,1,2,5,1,2,3,7,5,1,1,1,3,1,2,3,3,0,3,0,3,3,1,3,90,19.32,5.94,3.258694577,27.02,2.26,25.66666667,49.98
BGM-2157,3,7,3,5,1,3,4,5,4,3,1,3,1,2,3,3,5,1,1,1,2,2,2,2,7,3,3,1,3,3,2,3,90,17.52,5.82,3.01088314,25.74,1.696666667,19.66666667,42.15
