Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
BGM-0424,5,1,5,3,2,6,2,3,2,1,3,5,1,5,3,7,5,1,2,1,3,2,2,2,3,5,3,1,3,3,1,7,110,11.5,3.2,3.599373425,13.42,2.136666667,20.95833333,33.98666667
BGM-0425,7,1,5,3,3,8,1,3,4,1,1,5,1,5,3,3,5,1,3,1,3,1,2,2,7,5,2,0,4,5,1,5,70,14.44,3.76,3.846090253,13.56,2.436666667,27.44444444,71.48777778
BGM-0426,5,5,5,3,3,9,3,5,4,1,1,5,1,5,3,3,5,1,2,1,2,NA,2,2,7,5,2,1,4,3,1,7,100,14.98,4.52,3.316509882,23.66,2.15,25.9975,62.31666667
BGM-0427,5,2,5,3,3,9,3,3,4,3,1,5,1,5,3,7,5,1,1,1,1,0,2,1,7,5,3,0,4,3,3,5,0,13.62,3.16,4.311257116,17.36,2.59,14.79166667,60.56
BGM-0428,7,2,5,3,3,6,3,3,4,1,1,5,1,5,3,3,5,1,4,1,1,0,2,2,7,5,3,0,4,3,3,7,0,14.56,4.34,3.397032522,26.38,1.43,20.11111111,53.24
BGM-0432,7,1,5,3,3,6,2,3,4,1,1,3,0,5,3,3,5,1,1,1,3,1,2,2,7,5,3,1,4,7,1,7,90,17.86,4.72,3.796659783,23.8,1.8,34,82.11
BGM-0434,5,7,3,7,2,8,1,3,2,1,1,5,1,5,3,3,5,1,4,1,1,0,1,2,7,0,3,0,3,3,2,5,0,17.8,5.54,3.209523733,23.56,2.146666667,21.66666667,64.53333333
BGM-0435,5,5,5,3,3,9,3,3,4,2,1,5,1,5,3,7,5,1,2,1,1,0,2,1,7,5,3,0,4,3,2,3,0,14.36,3.8,3.791377369,22.96,2.026666667,29.22916667,74.32416667
BGM-0436,7,5,3,5,2,6,2,5,4,4,1,5,1,5,3,3,5,1,3,1,3,3,1,2,7,3,3,1,3,5,2,7,80,16.84,4.88,3.460722464,21.3,1.69,37.44444444,46.72555555
BGM-0437,7,5,5,3,2,6,1,5,2,1,1,5,1,9,1,3,5,1,4,1,1,0,2,2,3,5,2,0,3,3,1,3,0,13.2,2.42,5.465272209,22.36,1.536666667,21.77777778,45.36888889
BGM-0438,7,7,5,3,3,7,1,5,3,1,1,3,1,2,3,3,5,1,1,1,2,2,2,2,7,3,2,0,4,3,1,3,90,17.92,5.18,3.461382957,22.94,2.033333333,24.75,47.06666667
BGM-0439,5,7,5,5,3,9,3,5,3,3,1,5,1,5,7,7,5,1,2,1,2,2,2,3,7,5,3,0,3,3,1,5,110,11.12,3.02,3.708328338,18.98,2.64,22.5,55.06833333
BGM-0440,5,5,5,5,3,5,2,3,4,1,1,5,1,5,3,3,5,1,2,1,1,2,2,2,7,5,3,0,4,7,2,5,0,15.82,2.1,7.544771018,24.68,2.173333333,29.12416667,67.64333333
BGM-0441,5,5,5,3,3,6,3,3,3,1,1,5,1,5,3,7,5,1,1,1,1,0,2,2,3,3,2,0,3,3,3,5,0,11.96,3.4,3.583234837,15.82,3.046666667,20.55555556,72.13888889
BGM-0442,5,3,5,5,3,9,3,5,4,1,1,5,1,5,3,3,5,1,2,1,1,0,2,2,7,0,3,0,3,3,2,5,0,11.72,2.64,4.451455896,13.28,2.223333333,34.5,68.35916667
BGM-0443,7,5,5,3,3,9,3,5,4,3,1,3,1,5,7,3,3,1,1,1,3,3,1,3,7,3,3,1,3,3,2,5,80,13.18,3.82,3.499820691,19.06,1.573333333,22.01111111,50.73444444
BGM-0444,7,5,5,3,3,9,3,5,4,3,1,5,0,5,3,3,5,1,1,1,3,2,2,2,7,3,2,1,3,3,1,5,90,11.94,2.6,4.601608311,16.36,2.946666667,27,69.19166667
BGM-0447,7,5,5,3,3,9,2,3,4,1,1,3,0,5,7,3,5,1,1,1,2,2,2,2,NA,0,2,1,3,3,2,7,100,20,5.4,3.706941854,29.06,2.326666667,28.66666667,60
BGM-0448,5,5,5,3,3,6,3,3,3,1,1,5,1,2,3,7,5,1,1,1,1,1,1,2,7,5,3,0,3,3,3,5,90,12.12,3.72,3.260925903,18.36,2.556666667,26.66666667,64.45166667
BGM-0449,7,5,5,3,2,6,2,3,3,1,1,5,0,5,3,3,5,1,1,1,1,0,1,3,7,0,2,0,3,3,2,5,0,11.98,2.84,4.235276695,17.54,2.423333333,28.79166667,58.97
BGM-0451,7,7,5,3,3,7,1,5,3,1,1,5,0,5,3,3,5,1,1,1,1,0,1,2,7,0,2,0,3,3,2,5,0,10.92,3.26,3.355555347,13.94,2.426666667,24.95833333,62.5975
BGM-0452,9,7,5,5,3,6,1,5,1,1,1,5,0,5,3,3,5,1,2,1,1,0,2,2,3,5,3,0,3,3,3,7,0,17.1,4.72,3.633403361,24.12,3.576666667,37.33333333,66.76333333
BGM-0454,5,5,5,3,3,6,3,3,4,1,1,5,1,5,3,7,5,1,2,1,2,1,2,1,7,0,3,0,4,3,1,5,90,14.96,5,2.999132874,27.34,2.816666667,33.66666667,75.22
BGM-0456,7,5,5,3,3,9,2,3,4,1,1,5,1,5,3,7,5,1,2,1,3,2,1,1,7,5,3,0,4,7,1,7,80,15.56,5.48,2.853416723,24.64,2.803333333,26,43.54333333
BGM-0460,7,7,5,3,2,7,1,5,2,1,1,5,1,5,3,3,5,1,1,1,2,2,2,2,3,0,3,1,4,7,2,3,90,16.74,4.32,3.872907865,21.18,2.476666667,24.66666667,50.825
BGM-0461,5,5,5,3,3,3,4,5,4,3,1,5,1,5,7,7,5,1,2,1,2,3,2,3,7,3,3,1,3,3,3,5,100,15.14,4.36,3.485716925,17.44,2.256666667,22.41666667,50.1475
BGM-0462,5,7,5,3,3,5,3,5,4,3,1,5,1,5,3,3,5,1,2,1,2,3,2,2,7,3,2,0,3,3,1,5,90,8.26,2.56,3.348398269,11.38,2.04,24,57.86666667
BGM-0463,3,5,5,3,3,9,3,5,4,3,1,3,1,5,3,3,5,1,2,1,2,3,2,3,7,3,3,1,4,3,2,5,100,15.62,4.44,3.524605284,23.68,1.786666667,17.125,44.38083333
BGM-0464,7,5,5,3,2,5,4,5,4,3,1,1,1,5,1,3,3,1,2,2,2,3,2,3,7,3,3,1,3,3,2,5,120,8.34,2.86,2.933333333,6.94,2.206666667,30.33333333,42.88
BGM-0465,7,3,5,3,3,9,2,3,4,1,1,5,1,5,3,3,5,1,3,1,3,3,2,3,7,5,3,0,4,7,3,7,70,19.34,6.14,3.15078387,24.5,1.386666667,19.44444444,60.84777778
BGM-0467,5,3,5,3,3,5,1,3,1,3,1,5,1,5,3,3,5,1,1,1,3,2,2,2,3,5,3,0,4,3,2,5,90,22.76,3.9,5.845943188,34.1,2.213333333,20.83333333,62.16416667
BGM-0468,5,2,5,3,3,9,3,3,3,2,2,5,0,5,3,7,5,1,1,1,3,2,2,2,7,5,3,0,4,3,3,5,90,10.28,2.94,3.497577596,15.48,3.64,16.125,57.31916667
BGM-0469,7,7,5,9,3,6,3,5,4,1,1,5,1,5,7,3,5,1,4,1,1,0,NA,2,7,5,3,0,3,3,3,5,0,16.7,3.5,4.774304511,29.68,NA,NA,NA
BGM-0470,5,2,5,3,3,9,3,3,4,2,3,5,0,5,1,3,5,1,2,1,4,2,2,2,7,5,3,0,4,3,1,5,100,11.32,3.32,3.420352399,18.64,3.64,18.875,57.14333333
BGM-0471,5,7,5,3,2,4,1,5,1,3,1,5,1,5,3,7,5,1,1,1,4,1,2,2,3,5,3,0,4,3,3,5,90,13.48,2.76,4.898919325,19.96,3.266666667,29.25,77.38083333
BGM-0472,5,5,5,3,3,9,3,5,4,1,3,3,0,5,1,3,5,1,2,1,2,2,2,2,7,5,3,0,3,5,2,5,100,16.56,4.34,3.821613097,25.92,5,23.54166667,63.7
BGM-0473,7,7,5,7,1,3,4,5,4,4,1,3,1,2,7,3,3,1,2,1,3,3,NA,2,7,5,2,1,3,3,2,7,100,12.62,4.7,2.67980253,21.98,NA,NA,NA
BGM-0474,5,2,5,3,3,6,2,3,4,1,1,5,1,5,3,3,5,1,2,1,1,2,2,2,7,5,3,0,4,3,1,5,100,12.56,2.38,5.306841709,14.42,2.256666667,21.375,50.12916667
BGM-0475,5,1,5,3,2,8,2,3,3,1,1,5,1,5,3,7,5,1,1,1,2,1,2,2,7,5,2,1,3,3,2,3,90,19.36,4.68,4.14288339,22.26,2.4,24.5,61.91166667
BGM-0476,5,7,5,5,3,7,1,5,3,1,1,5,1,5,3,3,3,1,1,1,2,0,1,3,7,5,3,0,3,3,1,3,70,18.06,4.72,3.842533787,25.74,1.166666667,19.77777778,42.63666667
BGM-0477,7,5,5,5,2,5,2,3,3,1,1,3,1,5,3,3,5,1,2,1,3,3,NA,2,7,3,3,0,3,3,2,7,100,17.84,4.3,4.191203475,22.7,NA,NA,NA
BGM-0478,7,7,5,5,3,9,3,7,4,1,1,5,1,5,3,7,5,1,2,1,2,2,2,2,7,3,3,0,4,3,2,5,100,13.82,3.14,4.407898338,22.64,2.346666667,23.25,53.19833333
BGM-0480,9,7,5,5,3,9,3,7,4,1,1,3,1,5,3,7,5,1,1,1,2,0,2,2,7,5,3,0,3,3,2,3,90,15.58,3.72,4.185950853,23.36,2.28,22.66666667,47.21333333
BGM-0484,9,3,5,3,3,9,3,3,4,1,1,5,1,2,3,7,5,1,1,1,2,0,2,1,7,5,3,0,3,3,1,5,100,11.26,3.9,2.889949166,17.74,2.136666667,25.5,65.03416667
BGM-0489,5,3,5,3,3,6,2,3,4,1,1,5,0,5,3,7,5,1,1,1,1,0,2,1,7,5,3,0,3,3,1,5,0,11.02,3.42,3.228094197,15.78,3.03,23.33333333,67.41083333
BGM-0492,7,1,5,3,2,6,2,3,2,1,1,5,1,2,3,3,5,1,2,1,3,3,NA,4,3,3,3,0,4,3,3,5,90,16.44,4.04,4.063322259,23.32,NA,NA,NA
BGM-0494,5,5,5,3,3,7,2,5,1,3,1,5,1,2,3,7,5,1,1,1,2,2,2,2,3,5,3,0,3,7,2,5,90,11.2,3.48,3.22561703,15.3,2.496666667,23.33333333,63.11333333
BGM-0495,5,3,5,3,2,5,4,5,4,3,1,5,1,5,7,7,5,1,2,1,2,2,2,3,7,3,3,1,3,3,2,5,100,14.38,3.78,3.809655388,16.2,2.14,22.58333333,49.68583333
BGM-0496,5,3,5,3,3,6,3,3,4,1,1,5,1,9,3,3,5,1,2,1,2,3,2,3,7,5,3,1,3,3,3,5,100,14.8,3.38,4.452268519,16.56,2.713333333,25.33333333,65.04333333
BGM-0498,5,2,5,3,3,6,3,3,4,1,1,5,1,5,3,7,5,1,1,1,2,0,2,1,7,5,3,0,4,3,2,5,90,18.72,6.26,2.996159611,29.2,2.963333333,25.79166667,76.53
BGM-0499,7,3,5,3,3,6,2,3,4,1,1,5,1,5,3,3,5,1,1,1,2,2,2,1,7,3,3,0,4,NA,1,5,110,16.94,4.86,3.517221407,24.66,1.666666667,26.66666667,78.82333333
BGM-0500,5,5,5,5,2,5,3,5,4,1,1,5,1,5,1,7,5,1,3,1,3,1,2,2,7,5,3,0,3,5,1,5,90,11.16,3.5,3.188157914,12.22,2.683333333,32.8125,74.70583333
BGM-0501,7,5,3,5,2,7,2,5,4,3,1,5,1,5,3,3,5,1,3,1,3,2,NA,2,7,5,3,1,3,3,1,7,80,13.66,3.98,3.450990925,21.34,1.61,29.66666667,51.11666667
BGM-0503,7,5,5,3,3,7,2,5,4,2,2,5,1,5,3,7,5,1,1,1,1,0,NA,3,7,5,3,0,4,7,2,3,0,11.32,2.96,3.834375517,19.14,NA,NA,NA
BGM-0504,7,3,5,3,3,9,3,3,4,1,1,5,0,5,3,7,5,1,1,1,3,1,2,3,7,3,3,0,3,5,1,5,80,13.04,3.06,4.33635691,23.52,2.743333333,14.77777778,49.82777778
BGM-0505,3,5,5,3,3,9,1,3,4,4,1,5,1,5,7,3,5,1,1,1,2,1,2,3,7,3,3,0,4,3,2,3,90,10.58,2.88,3.706565934,15.54,2.813333333,23.1875,54.09
BGM-0507,7,9,5,9,3,9,4,5,4,1,1,3,1,5,3,3,5,1,1,1,2,3,1,2,7,3,2,0,3,3,2,5,90,14.68,3.56,4.129161789,23,2.326666667,27.05555555,57.83111111
BGM-0508,3,1,5,3,2,3,4,3,4,4,1,5,1,5,3,7,5,1,1,1,2,3,2,2,7,5,3,0,4,3,1,5,90,11.64,4.34,2.669774655,15.82,2.456666667,10.66666667,47.46333333
BGM-0509,7,3,5,3,2,7,1,5,2,1,1,3,1,5,3,3,5,1,4,1,1,0,2,2,3,5,2,0,3,5,1,7,0,14.66,3.58,4.092277753,20.96,1.716666667,21.55555555,45.87111111
BGM-0510,5,1,5,3,3,3,3,3,4,4,1,5,1,5,3,3,5,1,2,1,2,3,2,2,7,5,3,0,3,3,1,3,90,10.72,3.72,2.881017871,12.48,2.536666667,26,55.39
BGM-0511,7,5,5,3,2,8,2,5,1,1,1,7,1,5,3,7,5,1,1,1,1,2,1,2,3,0,3,0,4,7,1,5,0,11.98,4.14,2.910419159,22.12,1.633333333,27.33333333,59.84555556
BGM-0512,5,5,5,3,2,7,2,5,1,1,1,5,1,5,3,3,5,1,1,2,2,2,1,2,3,5,2,0,4,3,1,5,110,13.38,4.2,3.195257319,20.58,1.546666667,27.79166667,60.83166667
BGM-0514,3,3,5,3,3,9,2,3,4,1,1,5,1,9,7,3,5,1,1,1,2,0,2,2,7,5,3,0,3,3,1,5,90,16.16,2.96,5.687536321,19.68,3.053333333,27.58333333,61.30083333
BGM-0517,5,5,5,3,3,6,3,5,4,1,1,5,1,5,3,7,5,1,1,1,2,2,2,2,7,5,3,0,3,3,1,5,0,14.52,3.02,4.862916667,21.66,1.896666667,27.29166667,61.74
BGM-0520,5,5,5,3,3,9,3,3,4,4,1,3,1,5,7,3,5,1,2,1,2,1,2,2,7,5,2,0,4,3,2,5,90,11,3.64,3.024238718,18.66,2.093333333,19.22222222,52.81222222
BGM-0521,5,3,5,3,3,9,3,5,4,1,1,5,1,5,7,7,5,1,1,1,2,2,2,3,7,5,3,1,4,3,3,5,80,12.22,3.46,3.527685385,15.24,2.436666667,23.5,63.76666667
BGM-0523,5,3,5,3,3,7,2,3,4,1,1,5,1,5,3,7,5,1,1,1,2,1,2,2,7,5,3,0,3,3,2,5,80,12.48,3.2,3.902238613,15.94,3.38,23.0625,68.46083333
BGM-0527,5,3,5,3,3,6,2,3,1,1,1,3,1,5,3,7,5,1,2,1,3,2,2,2,3,3,3,1,4,3,3,5,90,15.7,2.48,6.35875996,21.6,2.41,27.625,62.8325
BGM-0529,5,3,5,3,3,7,2,3,1,3,1,5,1,5,3,7,5,1,2,1,2,2,2,2,3,5,3,1,4,3,3,5,100,11.66,1.9,6.358796296,17.68,2.306666667,31.16666667,58.11916667
BGM-0532,7,2,5,3,3,9,3,3,3,1,1,5,1,5,3,7,5,1,1,1,3,3,NA,3,7,3,3,0,4,7,3,7,80,12.74,3.7,3.441982086,19.96,NA,NA,NA
BGM-0533,3,5,5,3,3,7,1,3,3,1,1,5,1,2,3,3,5,1,3,1,2,1,2,4,7,3,3,0,4,3,3,5,80,12.74,4.68,2.724769071,19.8,2.053333333,29.66666667,51.02
BGM-0536,3,2,5,3,3,9,3,3,4,1,1,5,1,5,3,7,5,1,1,1,2,0,2,2,7,5,3,0,4,3,3,5,90,11.72,3.72,3.169298711,13.22,2.44,24.54166667,63.5275
BGM-0537,5,5,5,3,1,5,3,5,4,1,1,5,1,5,3,3,5,1,2,1,3,1,2,1,7,0,3,0,4,3,2,5,100,12.82,3.3,3.871573076,15.12,2.276666667,19.33333333,57.15416667
BGM-0540,3,5,5,3,3,6,1,5,1,3,1,3,1,5,3,7,5,1,3,1,2,2,2,2,3,3,3,1,4,7,3,7,90,14.88,4.82,3.090060628,19.8,3.49,27,83.71666667
BGM-0541,9,2,5,3,2,6,3,5,4,3,1,3,1,5,3,3,5,1,3,1,2,3,1,2,7,3,3,0,4,3,1,5,70,23.16,6.74,3.433992846,32.84,2.103333333,28.88888889,46.07777778
BGM-0542,7,5,5,3,2,9,3,5,4,4,1,3,1,5,3,3,5,1,1,1,3,0,2,2,7,3,2,0,3,3,1,5,80,14.36,5.16,2.784528474,21.56,1.74,19.33333333,43.19
BGM-0543,7,5,3,7,2,6,3,7,4,3,1,3,1,5,3,3,5,1,1,1,3,2,1,2,7,5,3,1,3,3,1,7,80,14.6,4,3.648670106,23.48,2.006666667,31.22222222,54.19111111
BGM-0544,7,7,3,7,2,8,4,5,4,1,1,5,1,5,3,3,5,1,4,1,1,0,1,1,7,5,3,0,3,5,2,5,0,19.64,5.44,3.609597169,28.62,1.85,22.77777778,50.79
BGM-0545,7,5,5,5,3,9,3,5,4,4,1,5,1,5,7,7,5,1,1,1,2,2,2,3,7,3,3,0,3,3,3,5,90,15.26,4.66,3.276500621,23.38,2.053333333,30.05555556,53.49777778
BGM-0546,5,1,5,3,3,6,2,3,3,1,1,5,0,5,3,3,5,1,3,1,3,3,2,2,7,5,3,1,4,7,2,5,90,17.2,4.46,3.893266394,20.84,1.906666667,32.33333333,49.79333333
BGM-0547,7,7,3,5,2,5,4,5,3,1,1,5,1,5,3,3,5,1,1,1,3,3,2,2,7,5,2,0,3,3,2,7,90,13.1,3.46,3.797510054,22.52,1.873333333,35.33333333,56.42
BGM-0549,3,2,5,3,3,6,2,3,4,2,1,5,1,5,3,3,5,1,2,1,3,2,2,2,7,5,3,1,4,3,2,5,100,10.78,3.14,3.434549274,11.24,2.49,25.04166667,59.41166667
BGM-0550,5,7,5,3,1,5,4,5,4,2,1,5,0,5,7,7,5,1,1,1,2,3,2,2,7,0,2,1,3,5,1,5,90,14.32,3.38,4.22812084,19.54,3.48,28.77777778,46.17777778
BGM-0551,5,7,5,5,3,9,3,5,4,1,1,5,1,2,3,7,5,1,1,1,1,0,2,3,7,3,2,0,3,3,1,5,0,11.6,3.56,3.269304906,13.12,2.246666667,26.83333333,48.7375
BGM-0552,7,3,5,3,2,6,3,3,4,1,1,5,1,5,3,3,5,1,1,1,2,1,2,2,7,5,3,1,3,5,3,5,90,16.72,3.94,4.295364798,21.54,3.213333333,20.55555555,62.12111111
BGM-0555,5,5,5,3,2,5,3,5,4,4,1,5,1,5,3,3,5,1,3,1,2,2,2,2,7,5,3,1,4,3,1,7,80,13.64,1.84,7.537922502,16.32,2.376666667,24.79166667,73.83833333
BGM-0556,7,7,5,7,2,5,2,5,3,1,1,5,1,5,3,3,5,1,4,1,1,0,2,2,7,3,3,0,4,7,1,7,0,15.64,4.34,3.599908744,26.92,2.086666667,29.66666667,54.60666667
BGM-0557,7,5,5,5,3,7,2,3,3,1,1,3,0,5,7,3,5,1,1,1,2,2,1,2,7,5,2,1,4,3,1,5,90,13.24,4.2,3.159446367,17.7,2.373333333,24.70916667,57.67666667
BGM-0558,5,5,5,3,3,6,3,5,4,1,1,5,1,9,3,7,5,1,1,1,2,3,2,3,7,5,3,1,4,7,3,7,90,17.3,2.98,5.83367089,22.32,2.046666667,22.66666667,65.04666667
BGM-0560,3,3,5,3,3,6,2,5,1,3,1,5,1,5,3,3,5,1,1,1,2,1,2,1,3,5,3,1,4,3,3,5,110,14.38,4.8,3.000677875,30.44,2.3,22.45833333,62.65916667
BGM-0561,7,7,5,5,2,7,1,5,1,1,1,5,1,2,7,7,5,1,1,1,1,0,2,2,3,5,3,0,4,7,2,3,0,11.98,4.02,2.990115876,14.08,2.15,22.41666667,44.00916667
BGM-0562,7,7,3,5,2,7,1,5,4,1,1,5,1,5,3,3,5,1,1,1,1,1,2,2,7,5,3,0,4,NA,2,5,0,14.76,4.12,3.618189504,25.14,2.503333333,26,59.32666667
BGM-0563,7,7,5,5,2,7,1,5,1,1,1,3,1,5,3,7,5,1,1,1,1,0,2,2,3,5,3,0,4,7,3,3,0,10.7,3.62,2.96106848,12.3,1.78,19.58333333,47.20666667
BGM-0564,7,5,5,3,3,7,1,5,1,1,1,5,1,5,3,3,5,1,1,1,1,0,1,2,3,0,3,0,3,3,3,3,0,17.32,5.22,3.340691185,23.94,1.906666667,19,51.65333333
BGM-0565,3,3,5,3,3,9,3,3,4,2,1,5,1,5,3,3,5,1,2,1,3,3,2,2,7,3,2,1,3,3,2,5,90,12.72,3.52,3.636515351,14.3,6.393333333,13,66.34333333
BGM-0567,7,1,5,3,3,7,1,3,1,1,1,5,1,4,3,7,5,1,1,1,1,0,NA,1,3,3,3,0,3,3,1,5,0,18.96,3.18,5.981486242,29.54,NA,NA,NA
BGM-0570,9,5,5,3,3,9,2,5,3,1,1,7,1,7,3,7,5,1,2,1,2,1,2,2,7,5,3,0,4,3,2,5,0,13.18,2.52,5.229208896,22.82,2.113333333,23.625,50.305
BGM-0573,3,2,5,3,3,9,3,3,4,1,1,5,1,5,3,7,5,1,2,1,2,2,2,2,7,5,3,0,4,3,1,5,100,9.56,2.82,3.399563301,13.56,3.15,31.45833333,63.75
BGM-0574,7,7,5,5,3,6,1,5,4,1,1,5,1,2,3,3,5,1,1,1,1,0,2,2,7,5,3,0,3,3,2,7,0,12.84,3.6,3.591667099,19.7,2.243333333,26,53.49
BGM-0575,7,3,5,3,3,7,1,3,1,1,1,5,1,5,3,3,5,1,1,1,2,3,1,2,3,5,3,1,3,5,2,5,50,13.98,3.22,4.365584416,13.7,2.08,25.11111111,66.69666666
BGM-0576,5,7,5,3,3,6,2,5,4,1,1,5,1,5,3,7,5,1,1,1,1,0,2,2,7,5,3,0,3,3,2,5,0,9.78,2.62,3.787591159,14.66,2.836666667,23.79166667,61.94166667
BGM-0579,3,3,5,3,3,9,4,3,4,2,3,5,0,5,1,3,5,1,1,1,2,2,1,2,7,5,3,0,3,3,2,3,90,9.54,2.4,3.989750842,12.3,3.443333333,19.41666667,63.3625
BGM-0583,7,2,3,3,3,6,2,3,4,1,1,5,1,5,3,3,5,1,2,1,2,2,2,2,7,3,3,0,4,3,2,7,90,17.18,4.14,4.169969885,22.96,1.973333333,23.66666667,52.33333333
BGM-0585,9,7,3,3,1,4,1,5,1,3,1,5,1,3,3,3,5,1,1,1,3,2,1,2,3,5,3,0,3,3,3,5,90,17.18,3.16,5.452007169,25.62,3.013333333,35.55555555,68.96555555
BGM-0587,7,3,5,3,2,4,1,5,3,2,1,3,1,4,3,3,5,1,2,2,3,1,2,2,7,3,3,1,4,3,2,7,80,17.16,4.6,3.731755243,20.9,1.703333333,32.66666667,39.81333333
BGM-0589,3,2,5,3,3,7,1,3,1,1,1,5,1,5,3,7,5,1,1,1,2,0,2,2,3,5,3,0,4,3,3,5,90,20.22,4.42,4.579073505,25.7,3.036666667,28.79166667,69.03166667
BGM-0590,7,7,3,7,2,7,1,5,4,1,1,5,1,5,3,3,5,1,3,1,2,0,1,2,7,5,3,1,4,5,2,7,80,15.8,3.48,4.546289926,25.74,1.823333333,23.77777778,61.94666667
BGM-0591,7,5,5,3,3,6,3,7,4,2,1,5,1,5,7,3,5,1,3,1,3,3,1,3,7,5,2,1,3,3,1,7,100,16.56,4.6,3.627168749,22.06,1.926666667,27.11111111,55.81
BGM-0592,3,7,5,3,2,3,4,5,1,1,1,5,1,5,3,7,5,1,4,1,1,0,2,1,7,0,3,0,4,3,2,5,0,12.22,3.68,3.328684522,19.86,2.036666667,26.54166667,55.47833333
BGM-0593,7,5,5,3,3,NA,2,3,3,1,1,5,1,5,3,3,3,1,1,1,1,0,2,2,7,5,3,0,3,3,1,5,0,12.76,3.12,4.129897593,17.72,2.14,23.19444444,50.88222222
BGM-0597,3,2,5,3,3,9,3,3,4,2,3,5,1,5,1,3,5,1,2,1,2,2,2,1,7,5,3,0,3,3,2,7,120,10.42,2.88,3.617988333,16.34,3.62,17.33333333,52.47333333
BGM-0598,7,5,5,5,3,7,1,5,2,1,1,3,1,5,3,3,5,1,3,1,2,2,1,1,3,5,3,0,3,3,2,7,70,16.52,4.16,4.020880605,23.58,2.876666667,26.66666667,56.42
BGM-0600,7,7,5,3,2,6,2,5,4,1,1,5,1,5,3,3,5,1,1,1,1,1,2,2,7,5,3,0,3,3,1,5,110,15.66,5.26,3.015194013,29.8,2.133333333,30.66666667,49.12333333
BGM-0601,7,5,5,3,2,6,1,5,4,1,1,5,1,5,3,3,5,1,2,1,2,2,2,2,7,NA,3,0,4,NA,2,5,90,14.5,4.5,3.218998268,22.68,2.203333333,22.33333333,51.07666667
BGM-0603,5,7,5,5,2,8,4,5,4,1,1,5,1,5,3,7,5,1,1,1,2,0,2,2,7,0,3,0,3,3,1,5,80,12.22,3.96,3.085667919,19.26,2.84,30.5,65.61416667
BGM-0604,7,5,5,5,2,3,1,5,4,1,1,5,1,2,3,7,5,1,1,1,2,1,2,2,7,0,3,0,3,3,2,3,60,16.14,4.24,3.804905398,26.6,1.6,26,55.42
BGM-0606,5,5,5,5,3,3,3,5,3,1,1,5,1,5,3,3,5,1,1,1,3,1,2,1,7,5,3,0,4,3,2,5,80,13.16,3.7,3.561073548,17.36,2.59,23.95833333,69.555
BGM-0607,7,1,5,3,3,6,2,3,3,1,1,7,1,5,1,7,5,1,1,1,2,0,2,3,7,5,3,0,4,3,3,5,90,16.12,3.48,4.614272896,25.28,4.653333333,27.22916667,67.175
BGM-0608,5,5,5,3,3,9,3,3,4,1,1,5,1,5,1,7,5,1,2,1,2,1,2,2,7,5,3,0,4,3,3,5,100,14.54,4.32,3.37128553,20.36,3.98,29.08333333,71.44166667
BGM-0609,7,7,5,3,3,9,2,5,3,1,1,5,0,5,7,7,5,1,1,1,2,1,1,2,7,5,2,0,4,3,2,5,90,13,4.02,3.23656766,19.26,2.096666667,16.55555556,51.23333333
BGM-0610,9,7,5,3,2,5,4,5,3,1,1,5,1,4,3,7,5,1,1,1,2,3,2,3,7,5,3,1,4,7,3,3,90,12.72,3.8,3.3624954,13.52,2.316666667,24.33333333,65.73666667
BGM-0611,5,2,3,3,3,9,4,3,4,1,1,5,1,5,3,3,3,1,1,1,2,2,1,3,7,5,3,0,3,3,1,7,95,14.84,3.08,4.824809384,19.3,3.661666667,26.66666667,63.49333333
BGM-06111,7,2,3,3,3,9,4,3,4,1,1,5,1,5,1,3,3,1,2,1,2,3,2,3,7,5,3,0,3,5,2,5,90,12.9,3.16,4.093065738,20.68,2.79,28.66666667,76.79333333
BGM-0613,7,3,5,3,3,6,4,3,4,2,1,5,1,5,7,7,5,1,1,1,3,2,1,2,7,5,3,0,4,5,2,5,90,13.48,3.64,3.710318563,18.32,3.29,27.33333333,65.54888889
BGM-0614,5,5,5,3,3,9,3,5,4,4,1,5,1,5,3,7,5,1,1,1,2,1,2,3,7,3,3,0,3,3,2,5,90,13.1,3.86,3.393756767,22.82,2.1,18.54166667,47.75833333
BGM-0615,5,2,5,3,2,6,2,3,4,1,1,5,1,2,1,7,5,1,2,1,2,2,2,2,7,0,3,1,3,3,1,5,100,13.32,3.88,3.43126597,23.52,4.616666667,23.58333333,72.75416667
BGM-0618,3,7,5,3,3,7,1,3,1,1,1,5,1,2,3,7,5,1,2,1,2,1,1,3,3,3,3,0,4,3,3,5,90,12.64,5.14,2.461758046,23.94,2.1,30.16666667,67.5725
