PLOT ;Ano;Campo;Local;Genotipos-BGM-;Genotipos;Bloco;PRC;PTR;"Peso da parte aerea			|CO_334:0000016";IC;"Altura de planta			|CO_334:0000018";"Altura de planta sem folha			|CO_334:0000125";NMa ;DMC (specific gravimetry);HCN (Lab);PROD-AMD;"Porte de planta			|CO_334:0000099";PRNC;Vigor;"Retencao foliar			|CO_334:0000048";"Numero de raiz			|CO_334:0000011";Peso raiz ;Teor de amido Corrigido;DMC Forno;"HCN-1			|CO_334:0000091";"HCN-2			|CO_334:0000091";"HCN-3			|CO_334:0000091";"HCN-4			|CO_334:0000092";"HCN-5			|CO_334:0000093";"HCN-6			|CO_334:0000094";"HCN-7			|CO_334:0000095";"HCN-8			|CO_334:0000096";"HCN-9			|CO_334:0000097"
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;6;11.63;27.87;15.02;64.98;1.53;-;-;35.27;-;8.53;1;16.23;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;7;7.81;13.54;10.59;56.12;1.63;-;-;35.27;-;4.15;1;5.73;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;7;13.85;24.7;12.15;67.02;1.53;-;-;35.46;-;7.61;5;10.85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;8;6.38;11.07;8.51;56.54;1.17;-;-;36.05;-;3.48;1;4.69;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;8;11.36;20.36;6.5;75.79;1.35;-;-;34.09;-;5.99;5;8.99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;9;12.5;23.06;11.81;66.14;1.65;-;-;32.83;-;6.5;5;10.56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;10;9.72;22.24;9.12;70.93;1.37;-;-;33.16;-;6.34;5;12.52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2103;BGM-2103;7;9.46;17.84;16.06;52.62;2.3;-;-;34.55;-;5.33;3;8.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2105;BGM-2105;7;17.28;30.69;11.98;71.92;1.73;-;-;33.82;-;8.95;1;13.41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2108;BGM-2108;7;8.12;15.8;6.34;71.37;1.17;-;-;33;-;4.48;5;7.68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2109;BGM-2109;7;10.2;22.18;7.81;73.95;1.53;-;-;29.96;-;5.61;5;11.98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2110;BGM-2110;7;7.55;12.93;5.77;69.14;1.33;-;-;28.03;-;3.02;5;5.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2111;BGM-2111;1;11.29;17.45;6.94;71.53;1.57;-;-;35.85;-;5.44;1;6.16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;1;9.72;12.41;4.51;73.33;1.12;-;-;34.3;-;3.68;5;2.69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2111;BGM-2111;2;8.59;12.41;2.78;81.71;1.07;-;-;36.38;-;3.94;1;3.82;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;2;13.37;20.75;8.42;71.13;1.42;-;-;38.2;-;6.96;5;7.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2111;BGM-2111;3;8.59;10.94;5.38;67.02;1.17;-;-;35.66;-;3.39;1;2.34;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;3;7.68;11.76;3.95;74.86;1.23;-;-;35.09;-;3.58;1;4.08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2111;BGM-2111;4;15.97;23.27;13.2;63.81;1.67;-;-;38.53;-;7.88;1;7.29;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;4;12.33;24.96;11.76;67.97;1.55;-;-;34.7;-;7.5;5;12.63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;5;11.85;19.53;7.73;71.66;1.4;-;-;33.95;-;5.72;3;7.68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;6;12.64;20.28;5.69;78.07;1.33;-;-;36.18;-;6.39;5;7.64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;7;15.45;25.17;7.03;78.17;1.4;-;-;35.93;-;7.87;5;9.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;8;9.38;15.7;5.42;74.34;1.27;-;-;36.05;-;4.93;5;6.32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;9;7.72;15.43;5.83;72.57;1.08;-;-;35.6;-;4.78;5;7.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2111;BGM-2111;10;9.72;20.17;3.89;83.84;0.97;-;-;34.64;-;6.05;5;10.45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
