Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
227;BGM-0181;3;9;5;5;3;7;2;5;1;1;1;5;1;5;3;7;5;1;1;1;1;0;2;3;3;3;2;0;4;5;2;5;0;15.36;4.4;3.47980564;24.58;2.63;29.66666667;44.08333333;6.18753892481935;4.03559442651072;3.1939265570467;3.89201997699265;30.3254171961315;10.5038391975502;18.0135946527151;33.9927750244183;1.71808971427507
229;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;3.76165391831386;4.22918562695248;3.75862010020658;5.50251652097596;31.847855975833;20.095782069128;25.3870191433895;43.8963092518291;2.07147280147029
242;BGM-0205;7;1;5;3;1;4;2;3;4;2;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;5;1;3;0;17.3;4.86;3.574696988;21.92;2.433333333;18.55555555;55.20666667;8.30338064107305;2.97830337500312;3.51275786683438;3.57100076428848;30.0862514973166;10.3977334719765;16.2756578996266;40.909320041075;1.55042542222412
244;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;3.93494150507782;4.29107448619011;2.39164584623107;4.63126461821484;33.2055782042215;14.1782157708914;26.5889586957616;33.7178617836061;2.40143460761456
248;BGM-0211;9;5;5;5;3;6;3;7;4;4;1;3;0;5;3;7;5;1;2;1;2;2;1;2;7;5;2;1;3;5;1;7;100;19.68;6.3;3.125092963;33.32;2.69;30.22222222;59.32888889;2.92435320946108;4.12202638417065;2.89728211686287;4.61306059975594;31.6595909672362;14.9675149481007;13.5688569080808;51.2877896811691;1.80872136559055
256;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;2;2;3;0;3;0;3;3;2;5;0;10.74;2.66;4.187824807;14.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54078606651365;5.41007002308741;33.6001851012856;17.2228431674287;24.1184572382013;41.8376680354329;2.13184153514083
274;BGM-0252;5;5;3;3;2;5;4;3;4;3;2;3;1;5;1;3;3;1;1;1;3;2;1;3;7;5;3;1;3;5;2;5;120;12.38;3.8;3.277371284;15.56;1.39;25.66666667;52.61;3.81308749104245;4.74721222726608;3.31849541765019;6.57999011189435;32.3528380589488;18.931736092241;20.5446583081128;48.1275822067453;1.90852572718254
275;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;3.72156770096808;4.24608570564686;3.60273666772105;5.79175881388656;35.042212560768;20.4589210336989;14.7284832404978;53.7843423051809;1.97305491247877
283;BGM-0267;7;3;5;3;1;4;2;3;1;1;3;7;0;9;3;7;5;1;2;1;2;2;2;2;7;3;2;1;3;3;1;5;90;22;3.52;6.297044131;25.12;1.826666667;21.66666667;60.67;7.83847812543666;4.03559442651072;3.11090501523926;5.03302519437583;33.9801251539566;14.1608550373118;14.5570206353169;45.4378611224913;1.89379215312239
310;BGM-0307;7;5;3;7;2;7;1;3;4;4;1;5;0;2;3;7;5;1;1;1;2;3;2;2;7;3;3;0;3;3;1;7;90;12.96;3.76;3.455996903;18.06;1.496666667;23.44444444;46.85444445;4.77455557015514;3.62387432161134;3.44997659959346;4.50214710071978;34.1179862358295;11.2337133620245;19.8819793521006;34.4907479425846;2.08392672277148
