Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
157;BGM-0096;5;5;5;3;3;7;3;5;3;1;1;5;1;9;3;3;5;1;4;1;1;1;2;2;7;5;3;0;3;3;1;3;0;18.7;4.02;4.669242875;31.16;3.61;30;68.88666667;7.92154278878565;2.19714307291187;2.37798546485181;8.96662995205844;5.10690020740293;2.68946595098974;6.16610015512718;33.5852215877869;21.5698480424717;30.1764343735262;41.8103399749282;2.21674737421521
158;BGM-0097;5;2;5;3;3;7;1;5;1;1;1;5;1;4;3;3;5;1;1;1;1;1;1;2;3;3;3;0;3;7;2;5;0;15.32;3.48;4.425292398;24.08;2.186666667;37.33333333;54.17333333;6.24535409000018;2.15407598529207;2.05804315090305;9.43083449124786;4.94090750818523;2.48650149451605;7.11875968627076;34.3625911511322;25.0043115120802;29.7804125672003;46.0661111386417;2.18936794991547
163;BGM-0106;3;1;5;3;3;6;3;3;3;2;1;5;1;5;3;7;5;1;1;1;2;3;2;2;7;5;3;1;4;3;1;5;90;18.88;5.82;3.24847518;28.8;2.78;25.55555556;61.71777778;7.85020677948608;2.48802551317246;2.21342429488279;8.96662995205844;4.17934810561919;3.27472360281713;6.45722817546633;36.800912289921;21.8147459135155;17.8433460102701;57.0872530971627;1.86932807936145
167;BGM-0113-RcxRos;7;5;3;3;2;9;4;5;4;3;1;3;0;5;5;7;3;2;2;2;2;2;1;3;7;5;3;1;3;7;1;3;90;11.02;2.96;3.790705373;11.64;1.85;26.66666667;73.16666667;7.76339745519747;2.06925494828223;2.05804315090305;8.96662995205844;3.1792873149922;3.089683367676;4.57541308454031;32.5889573525366;12.561260044659;18.1922912454;35.1255326120843;1.85954384114243
168;BGM-0115;7;9;5;9;3;9;4;7;4;1;1;5;1;5;3;3;5;1;3;1;1;0;1;2;7;3;2;1;3;3;2;5;0;16.98;4;4.245551378;23.98;1.566666667;33.68055556;54.30680555;7.83510652682644;2.38724283977097;2.15123410843707;8.96662995205844;4.03559442651072;3.56521816649922;7.29277088528517;35.8232894649935;22.589107774416;19.4137244289561;56.8295432658357;2.05816383709614
174;BGM-0121;5;2;5;3;3;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;3;1;1;3;3;5;3;0;3;3;3;5;100;15.7;4.04;3.89033058;30.68;3.213333333;25.7;57.60888889;7.85020677948608;1.91667497201435;2.10930031389099;8.96662995205844;4.36571294853862;3.83308083797586;5.95421901743735;36.6444402979392;17.1485761880032;25.9198278805631;35.4781688269619;1.88445328797238
179;BGM-0128;5;5;5;3;3;6;2;3;3;1;1;5;0;2;3;3;5;1;2;1;3;3;2;2;7;5;3;0;3;3;1;5;120;18.86;5.52;3.421307239;26.66;2.583333333;41.66666667;69.84;4.61585055665509;2.15407598529207;2.05804315090305;9.40262896538658;3.93830798853561;4.26606241550895;6.84890376125332;34.7190103443805;25.1076259425344;20.6148676295915;52.3944636167956;2.13613239432966
181;BGM-0131;5;7;5;9;2;9;3;7;3;1;3;3;1;5;3;7;5;1;1;1;2;3;2;2;7;3;2;0;4;3;2;5;80;12.08;1.8;6.861912133;17.06;3.09;17;59.36666667;7.88355592150617;2.02596612726583;1.72540530100091;8.96662995205844;2.89293462222478;3.1791274840498;4.1316118499864;31.8644800471081;9.277221283486;13.5709937236693;32.6190428964115;1.82613355173545
183;BGM-0133;7;3;5;3;3;7;1;3;1;2;1;3;1;2;3;7;5;1;1;1;2;0;2;2;3;3;2;0;3;5;1;3;50;15.58;5.34;2.916668946;25.68;2.303333333;26.70833333;50.7425;6.00871415790666;2.06925494828223;1.64913154543287;8.83174446018246;3.50727037160158;2.87070109933385;4.86463606778418;33.8775991108699;9.6567740246663;13.1033160418109;39.6435775494545;1.8689568296475
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;2.13152363448869;1.72540530100091;8.96662995205844;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
190;BGM-0143;7;5;3;5;3;6;2;5;4;1;1;5;1;2;3;3;5;1;1;1;1;0;2;3;7;5;2;0;3;3;1;5;0;16.64;6.06;2.747237019;29.62;1.976666667;23.33333333;56.15;6.89363505346206;2.01421332704864;2.05804315090305;8.24182585636058;3.76811362563213;3.30471310190585;4.11073153833406;36.410237053427;16.443824206605;27.9403191429063;32.1164953246675;1.90683810868596
200;BGM-0152;3;7;3;3;3;6;4;3;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;3;7;5;3;1;4;3;1;3;90;15.08;5.4;2.797443701;23.78;2.398333333;26.79166667;63.22291667;6.01662321886578;2.06925494828223;2.18840130102815;8.69916155114473;4.13001687359744;3.75127958519838;6.91286546317636;33.9795302883041;20.2206486570173;16.8281381237442;50.7302574783455;1.82008791455671
202;BGM-0152-B;7;5;3;7;3;6;2;5;4;3;1;3;1;5;3;3;3;1;1;1;2;2;2;3;7;0;3;0;4;3;2;5;105;14.04;3.84;3.656428571;19.84;2.021666667;15.66666667;60.67;3.25727056776039;2.06925494828223;2.05804315090305;8.96662995205844;4.03559442651072;3.26071095227992;6.06757085630862;33.2840216287046;15.4508892800997;16.2404886914734;47.1047981400851;2.01471168257419
219;BGM-0169;5;7;5;5;3;6;3;5;4;1;1;7;1;2;7;7;5;1;2;1;2;0;2;1;7;5;3;0;3;3;1;5;90;12.16;4.14;3.010918679;20.08;4.363333333;29.70833333;81.1525;7.97510675976724;1.73985852082659;2.06785261953056;8.96662995205844;3.24072193987908;4.10781891882577;5.7898868599065;35.9703602054983;18.718941806493;22.2834830024391;40.1417996998763;2.01687578107046
229;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;3.76165391831386;2.06925494828223;2.27520640215262;9.18573192715992;4.22918562695248;3.75862010020658;5.50251652097596;31.847855975833;20.095782069128;25.3870191433895;43.8963092518291;2.07147280147029
240;BGM-0202;5;3;5;3;3;5;2;5;4;1;1;3;0;5;3;3;5;1;2;1;1;0;1;1;7;0;3;0;3;3;1;5;0;12.22;4.12;2.962977869;19.7;2.79;24.20833333;61.19;4.12944369064742;2.40296195575763;2.04440623133586;8.96662995205844;4.36357380629218;3.06881177044961;6.34405241070714;31.795672732943;21.4434917531892;17.697555997428;54.3509919343919;1.96839065370295
242;BGM-0205;7;1;5;3;1;4;2;3;4;2;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;5;1;3;0;17.3;4.86;3.574696988;21.92;2.433333333;18.55555555;55.20666667;8.30338064107305;2.06925494828223;2.15761505838941;8.17569381977863;2.97830337500312;3.51275786683438;3.57100076428848;30.0862514973166;10.3977334719765;16.2756578996266;40.909320041075;1.55042542222412
244;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;3.93494150507782;1.96213293273887;2.05804315090305;10.2310405955621;4.29107448619011;2.39164584623107;4.63126461821484;33.2055782042215;14.1782157708914;26.5889586957616;33.7178617836061;2.40143460761456
248;BGM-0211;9;5;5;5;3;6;3;7;4;4;1;3;0;5;3;7;5;1;2;1;2;2;1;2;7;5;2;1;3;5;1;7;100;19.68;6.3;3.125092963;33.32;2.69;30.22222222;59.32888889;2.92435320946108;2.06925494828223;1.87713428458737;8.50201232553414;4.12202638417065;2.89728211686287;4.61306059975594;31.6595909672362;14.9675149481007;13.5688569080808;51.2877896811691;1.80872136559055
254;BGM-0217;7;7;3;5;2;8;1;5;3;1;1;3;1;5;3;7;5;1;1;2;2;2;2;2;7;5;3;0;4;3;2;7;100;12.34;3.84;3.225979975;20.08;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;10.0016729741274;4.03559442651072;2.53414229290701;3.56473887387529;33.6964662000936;10.4476914116533;21.9841493833936;36.0183068740393;2.12462598360796
258;BGM-0226;3;7;5;5;3;6;2;5;4;1;1;5;0;5;3;3;5;1;2;1;3;1;1;3;7;3;3;1;3;3;2;5;90;8.54;3.12;2.742531328;11.98;2.3;27.00083333;51.9875;4.90656895204343;1.8558272547989;1.98139233298735;7.86223000427784;3.2982502404816;3.9964217097919;4.59586916415816;36.4719336432962;12.1371975333243;18.587721749908;38.3534344690167;1.70124224277876
259;BGM-0232;7;9;5;9;2;5;4;7;4;2;1;5;1;2;3;7;5;1;1;1;2;1;2;2;7;0;3;0;3;3;1;5;100;9.62;3.42;2.828188907;10.84;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.50055965253565;4.03559442651072;2.94707845209868;5.78053784805918;37.6307727790013;16.3485250188706;31.7014653514336;37.3529876842515;2.39971817212798
270;BGM-0248;7;1;5;3;2;8;4;3;4;3;2;3;1;5;3;7;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;7;90;11.64;3.84;3.066485059;17.82;2.306666667;27.44444444;52.17444444;3.98130858611461;2.06925494828223;1.87713428458737;8.68187957712892;3.72444242496406;3.20476154380461;5.00988010446294;32.1528893972922;10.2409812638717;13.0155953618624;40.9831036502946;1.86880085720163
275;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;3.72156770096808;2.15869337107465;2.15344613359698;8.55284193884898;4.24608570564686;3.60273666772105;5.79175881388656;35.042212560768;20.4589210336989;14.7284832404978;53.7843423051809;1.97305491247877
276;BGM-0255;5;7;3;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;3;2;2;3;7;5;3;1;4;7;1;5;90;10.88;2.92;3.736753813;11.6;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;8.38787403025589;4.03559442651072;3.54196005663819;5.09594185078606;29.920294044815;15.8559229626559;22.6437810135872;43.7096424116238;1.82436812738935
277;BGM-0257;5;5;5;3;2;8;3;3;2;2;3;3;1;5;3;7;5;1;1;1;3;3;1;3;7;3;3;1;4;3;3;5;90;15.12;2.74;5.563888765;16.78;1.946666667;24.46083333;48.59333333;7.9541079155087;2.18370072055337;1.65160308153814;8.96662995205844;3.56809724828872;3.73628281138511;5.33360419754994;35.9411976772328;14.9480841722881;14.7207200248598;45.8019269150646;1.83947477598589
278;BGM-0260;3;9;3;5;3;3;4;5;4;4;1;5;1;5;3;7;5;1;1;1;2;1;1;2;7;3;2;0;3;3;1;5;90;14.94;4.92;3.040997268;23.7;2.52;24.75;46.7275;3.37810949793085;2.03422800198331;2.12764535996495;8.96662995205844;4.18575833178413;3.3947549382194;5.20737854326993;35.7816594075972;13.4259830414779;15.038355886392;41.8548687876011;1.8549795961425
283;BGM-0267;7;3;5;3;1;4;2;3;1;1;3;7;0;9;3;7;5;1;2;1;2;2;2;2;7;3;2;1;3;3;1;5;90;22;3.52;6.297044131;25.12;1.826666667;21.66666667;60.67;7.83847812543666;2.06925494828223;1.89008301615105;8.96662995205844;4.03559442651072;3.11090501523926;5.03302519437583;33.9801251539566;14.1608550373118;14.5570206353169;45.4378611224913;1.89379215312239
295;BGM-0283;5;7;5;5;2;6;2;7;3;3;1;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;5;90;17.34;5.9;2.93914475;33.84;2.91;23.79166667;63.53;7.97510675976724;2.12590117973873;2.04300881832463;8.96662995205844;3.86959272150874;3.2949176225441;5.63011840682151;34.2783877720506;19.0908412687997;24.8041778119951;43.5612348266655;1.76398537585727
302;BGM-0290;5;7;5;3;2;7;1;3;4;2;2;5;1;5;3;7;5;1;2;1;2;2;2;2;3;5;3;0;4;3;3;5;90;14.58;4.56;3.205959349;25.54;3.37;24.41666667;70.66416667;5.00466270135374;2.3524235068493;2.31368597403408;8.96662995205844;3.56049711530234;4.40405096122813;7.31512296622994;37.7075403004765;21.7048134999928;21.6818410070613;48.9874575998345;1.85992141599268
310;BGM-0307;7;5;3;7;2;7;1;3;4;4;1;5;0;2;3;7;5;1;1;1;2;3;2;2;7;3;3;0;3;3;1;7;90;12.96;3.76;3.455996903;18.06;1.496666667;23.44444444;46.85444445;4.77455557015514;2.06925494828223;1.72378369855482;9.2961201034878;3.62387432161134;3.44997659959346;4.50214710071978;34.1179862358295;11.2337133620245;19.8819793521006;34.4907479425846;2.08392672277148
