Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
208;BGM-0135;5;2;5;3;3;9;2;3;4;2;1;5;0;2;3;3;5;1;2;1;3;3;2;2;7;5;3;0;4;7;1;5;100;5;8;2;13.04;4.68;2.791912785;18.5;3.163333333;20.33333333;62.36;4;1.963846154;34.87;30.44538462;25.67333333;7.96875;46.73384615;35.45461538
211;BGM-0138;7;9;5;9;3;9;4;7;4;1;1;5;1;5;5;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;120;5;8;2.5;16.98;4.54;3.742594975;26.14;1.815416667;31.38541667;59.441875;6.1875;1.978;15.537;15.909;10.698;5.208;51.32;34.571
215;BGM-0145;9;5;5;5;2;7;4;5;4;3;2;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;3;5;2;5;0;1;4;2.142857143;18.24;5.62;3.255234535;27.64;3.603333333;24.125;60.835;4.875;2.233043478;25.29;22.17391304;15.92363636;6.497619048;48.04652174;31.16043478
223;BGM-0152;3;7;3;3;3;6;4;3;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;3;7;5;3;1;4;3;1;3;90;5;6;1.833333333;15.08;5.4;2.797443701;23.78;2.398333333;26.79166667;63.22291667;4.208333333;1.875454545;19.54272727;23.29363636;19.31;4.41;49.61181818;33.26181818
228;BGM-0156;5;3;5;3;3;7;3;3;4;1;1;7;0;2;3;3;5;1;2;1;1;1;1;2;7;3;3;0;3;3;3;5;0;1;8;2.125;12.32;4.18;2.946893107;19.54;2.923333333;36.79166667;65.6825;3.875;2.190666667;27.43933333;23.28333333;17.74384615;5.36;45.14666667;34.35
229;BGM-0157;7;5;5;3;3;7;1;3;4;1;1;5;0;5;3;3;3;1;1;1;1;0;2;3;7;5;2;0;4;3;2;3;0;1;8;2;16.3;5.44;2.999664564;24.18;2.336666667;21.70833333;63.17666667;4.583333333;2.065;20.84583333;19.84583333;14.18636364;6.086;46.25583333;34.2975
230;BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;3;8;1.4;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;2.777777778;2.09875;15.5125;4.32375;1.767142857;2.241666667;29.5825;30.984
236;BGM-0163;5;2;5;3;3;9;3;3;4;1;1;3;1;5;3;3;5;1;3;1;2;1;1;2;7;5;3;0;3;3;2;5;120;1;8;2.428571429;16.36;5.16;3.170623764;24.92;2.23;21.77777778;66.92888889;3.388888889;2.608;35.848;23.262;17.93785714;6.007;36.13266667;39.51666667
250;BGM-0181;3;9;5;5;3;7;2;5;1;1;1;5;1;5;3;7;5;1;1;1;1;0;NA;3;3;3;2;0;4;5;2;5;0;3;NA;2;15.36;4.4;3.47980564;24.58;2.63;29.66666667;44.08333333;2.666666667;1.6075;14.3825;7.27;3.0975;4.175;35.9275;28.84
255;BGM-0186;3;1;5;5;2;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;3;2;1;2;7;3;3;0;4;3;2;5;90;3;4;1.857142857;9.24;3.34;2.766417855;12.7;2.506666667;21.70833333;60.74666667;4.041666667;1.554;9.824;8.597;3.858888889;4.488888889;45.134;33.774
266;BGM-0206;7;1;5;3;1;5;4;3;4;2;1;5;1;5;3;3;5;1;1;1;2;0;NA;2;7;0;3;0;3;7;1;3;80;3;8;2;15.72;4.1;3.835083077;21.24;2.94;20.66666667;58.57222222;3.111111111;1.671666667;17.75;10.32666667;5.966666667;5.862;35.41;31.784
268;BGM-0208;5;7;5;5;3;9;3;5;3;1;1;5;1;2;3;3;5;1;4;1;1;1;2;2;7;5;2;0;3;3;1;3;0;3;8;2;16.68;5.38;3.104136537;25.08;2.86;22.875;65.14166667;3.791666667;1.951818182;24.03454545;18.31090909;11.879;6.548;41.92545455;33.73909091
280;BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;3;2;1.35;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;4.166666667;1.971538462;15.70230769;15.91461538;13.75363636;3.697272727;46.74615385;34.10076923
281;BGM-0226;3;7;5;5;3;6;2;5;4;1;1;5;0;5;3;3;5;1;2;1;3;1;1;3;7;3;3;1;3;3;2;5;90;5;6;1.555555556;8.54;3.12;2.742531328;11.98;2.3;27.00083333;51.9875;2.335;1.720625;18.72375;10.480625;5.498;4.737857143;35.066875;35.38714286
284;BGM-0236;5;5;5;3;3;6;1;3;1;1;1;5;1;5;3;3;5;1;2;1;3;1;2;2;NA;5;2;1;4;3;2;5;90;3;6;2;11.04;4.08;2.70087969;15.14;2.276666667;34.04166667;64.48166667;4.875;1.905909091;23.60095238;29.23238095;24.8215;4.719444444;53.42238095;33.50047619
295;BGM-0249-(A.Marag);3;7;3;3;3;8;2;3;4;1;1;3;1;5;1;3;3;1;2;1;2;3;2;3;7;3;3;1;3;5;2;5;115;3;4;2;12.68;3.76;3.374056419;17.46;2.39;29.16666667;64.485;5.833333333;2.336666667;30.98;24.04;25.43;4.165;42.25666667;33.22
314;BGM-0277;3;5;5;3;2;7;2;5;3;1;1;5;1;2;3;7;5;1;1;1;2;0;1;2;7;5;3;0;4;3;2;5;90;5;8;2;18.34;6.66;2.754196999;30.62;3.1;25.75;64.76;4.458333333;1.557692308;14.17538462;18.52846154;13.39166667;5.360833333;58.87538462;29.51384615
316;BGM-0280;7;7;5;3;3;8;3;5;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;1;5;100;3;4;1.333333333;11.44;3.6;3.167489131;16.1;2.523333333;26;47.67;4;2.4625;24.6;20.28625;16.58857143;4.693333333;42.44625;34.95875
319;BGM-0283;5;7;5;5;2;6;2;7;3;3;1;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;5;90;5;8;1.857142857;17.34;5.9;2.93914475;33.84;2.91;23.79166667;63.53;4.208333333;1.726153846;24.36615385;19.10692308;13.30916667;6.188333333;44.52230769;33.20307692
323;BGM-0287;5;7;5;5;3;9;3;5;4;1;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;3;3;1;3;0;3;8;2.714285714;14.6;3.02;4.862939398;22.28;2.576666667;30.625;64.46;5.583333333;2.435384615;28.72;37.18461538;28.68333333;7.765;56.26538462;32.97076923
333;BGM-0306;5;7;3;3;2;6;2;3;3;3;1;5;0;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;4;3;2;5;90;3;4;1.5;17.84;5.7;3.130166325;23.8;2.096666667;25.45833333;51.90416667;5.458333333;1.769166667;13.5575;11.41416667;7.928181818;3.936363636;45.02;33.21916667
334;BGM-0307;7;5;3;7;2;7;1;3;4;4;1;5;0;2;3;7;5;1;1;1;2;3;2;2;7;3;3;0;3;3;1;7;90;5;4;1;12.96;3.76;3.455996903;18.06;1.496666667;23.44444444;46.85444445;4.111111111;2.397272727;24.76181818;12.77909091;8.44;3.864285714;32.25454545;35.44545455
340;BGM-0316;3;3;5;3;3;9;2;3;4;1;1;3;1;5;3;3;5;1;1;1;1;0;1;2;7;5;3;0;3;3;1;5;0;1;NA;1;16.56;5.34;3.106825955;21.02;2.04;33.33333333;68.71333333;4;2.126428571;24.80714286;25.04357143;21.64923077;5.218888889;52.92071429;33.70785714
343;BGM-0320;7;2;5;5;3;9;4;5;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;1;7;5;3;0;3;5;1;5;110;4;NA;2;16.04;4.44;3.612626263;19.8;2.186666667;35.66666667;69.24;6.333333333;2.52;30.55;43.615;18.67;6.4;57.935;37.03
354;BGM-0340;5;3;5;3;3;3;4;5;3;3;1;5;1;2;3;3;5;1;1;1;2;1;NA;2;7;5;3;0;4;3;2;5;70;3;8;2.25;10.68;3.22;3.354536914;19.22;1.266666667;27.36111111;45.29027778;5.388888889;1.93;19.244;8.246;3.636;6.456;30.53;32.48
